mod,snr,clean_amc_acc,cw_adv_acc,cw_asr,cw_l2_mean
BPSK,0,0.982,0.008,0.992,0.008372
QPSK,0,0.966,0.0,1.0,0.004289
8PSK,0,0.94,0.006,0.994,0.003559
QAM16,0,0.926,0.008,0.992,0.002049
QAM64,0,0.928,0.008,0.992,0.002863
PAM4,0,0.994,0.018,0.982,0.013629
CPFSK,0,1.0,0.002,0.998,0.008377
GFSK,0,0.976,0.124,0.876,0.004927
