rank,approach,accuracy,k_mean,k_std,BPSK,QPSK,8PSK,QAM16,QAM64,PAM4,CPFSK,GFSK,AM-DSB,AM-SSB,WBFM
38,J_ent3grp_5.2_6.0_10_20_64,0.445455,15.4,16.0,0.0255,0.0055,0.0015,0.0480,0.9420,0.9695,0.0940,0.7600,0.9265,0.7490,0.3785
39,C_ecb_95_x0.5,0.424409,13.7,14.2,0.1265,0.0685,0.0195,0.0485,0.9290,0.9555,0.1940,0.4610,0.9565,0.6715,0.2380
40,C_ecb_90_x0.75,0.424273,15.3,17.6,0.0855,0.0495,0.0215,0.0480,0.9375,0.9655,0.1705,0.4320,0.9700,0.7490,0.2380
41,I_hybrid_ent0.3_ecb0.7,0.421455,22.5,15.6,0.7460,0.4810,0.1015,0.1220,0.2450,0.8020,0.8615,0.2715,0.7100,0.0355,0.2600
42,J_ent3grp_5.0_6.0_8_20_50,0.414955,12.4,12.5,0.0245,0.0035,0.0015,0.0440,0.9285,0.9630,0.0340,0.5935,0.9245,0.6715,0.3760
43,J_ent3grp_5.0_5.8_8_15_50,0.412682,12.3,12.4,0.0110,0.0010,0.0000,0.0440,0.9285,0.9635,0.0260,0.5935,0.9245,0.6715,0.3760
44,I_hybrid_ent0.7_ecb0.3,0.411000,29.4,15.0,0.7455,0.4545,0.1005,0.1285,0.1890,0.8060,0.8615,0.2510,0.6700,0.0395,0.2750
45,I_hybrid_ent_knee,0.398000,29.2,16.8,0.7435,0.4185,0.0350,0.0270,0.0530,0.7850,0.8655,0.2785,0.6970,0.1965,0.2785
46,B_kurtosis_linear,0.396545,43.4,21.5,0.7370,0.4005,0.0320,0.0140,0.0200,0.7870,0.8605,0.2235,0.9840,0.1115,0.1920
47,C_ecb_90_x0.5,0.388227,11.1,13.7,0.0480,0.0125,0.0035,0.0905,0.8640,0.9450,0.0640,0.3890,0.9725,0.6705,0.2110
