attack,mod,snr,fec,clean_amc_acc,attack_amc_acc,attack_oracle_crc,clean_crc,top10_crc,top10_amc,top20_crc,top20_amc,top50_crc,top50_amc
mifgsm,QAM64,0,True,0.2,0.0,0.05,0.21,0.005,0.87,0.01,0.285,0.065,0.0
mifgsm,PAM4,0,False,0.755,0.0,0.015,0.19,0.005,0.405,0.005,0.12,0.015,0.0
mifgsm,PAM4,0,True,0.385,0.0,0.48,0.81,0.485,0.005,0.525,0.0,0.485,0.0
pgd,BPSK,0,False,0.755,0.0,0.905,1.0,0.575,0.0,0.86,0.0,0.895,0.0
pgd,QPSK,0,False,0.485,0.0,0.3,0.8,0.04,0.0,0.215,0.0,0.265,0.0
pgd,QPSK,0,True,0.03,0.0,0.985,0.995,0.775,0.0,0.865,0.0,0.945,0.0
pgd,8PSK,0,False,0.345,0.0,0.03,0.065,0.005,0.0,0.005,0.03,0.015,0.0
pgd,8PSK,0,True,0.36,0.0,0.965,1.0,0.79,0.0,0.92,0.025,0.965,0.005
pgd,QAM16,0,False,0.615,0.0,0.005,0.005,0.005,0.155,0.005,0.17,0.0,0.0
pgd,QAM16,0,True,0.57,0.0,0.585,0.875,0.205,0.16,0.415,0.18,0.525,0.0
pgd,QAM64,0,False,0.21,0.0,0.0,0.0,0.0,0.835,0.0,0.325,0.01,0.0
pgd,QAM64,0,True,0.2,0.0,0.055,0.21,0.0,0.83,0.025,0.27,0.03,0.0
pgd,PAM4,0,False,0.755,0.0,0.025,0.19,0.01,0.36,0.015,0.12,0.035,0.0
pgd,PAM4,0,True,0.385,0.0,0.47,0.81,0.47,0.0,0.505,0.0,0.525,0.0
rfgsm,BPSK,0,False,0.755,0.0,0.92,1.0,0.6,0.0,0.855,0.0,0.915,0.0
rfgsm,QPSK,0,False,0.485,0.0,0.33,0.8,0.045,0.0,0.255,0.0,0.295,0.0
rfgsm,QPSK,0,True,0.03,0.0,0.97,0.995,0.75,0.0,0.875,0.0,0.925,0.0
rfgsm,8PSK,0,False,0.345,0.0,0.01,0.065,0.0,0.005,0.015,0.01,0.005,0.0
rfgsm,8PSK,0,True,0.36,0.0,0.975,1.0,0.815,0.0,0.96,0.03,0.975,0.0
rfgsm,QAM16,0,False,0.615,0.0,0.0,0.005,0.0,0.12,0.005,0.17,0.005,0.005
rfgsm,QAM16,0,True,0.57,0.0,0.6,0.875,0.27,0.135,0.42,0.175,0.53,0.0
rfgsm,QAM64,0,False,0.21,0.0,0.01,0.0,0.005,0.775,0.0,0.23,0.005,0.0
rfgsm,QAM64,0,True,0.2,0.0,0.035,0.21,0.0,0.78,0.035,0.23,0.03,0.0
rfgsm,PAM4,0,False,0.755,0.0,0.02,0.19,0.005,0.34,0.0,0.09,0.015,0.0
rfgsm,PAM4,0,True,0.385,0.0,0.45,0.81,0.455,0.0,0.51,0.0,0.5,0.0
vmifgsm,BPSK,0,False,0.755,0.0,0.895,1.0,0.625,0.0,0.83,0.0,0.855,0.0
vmifgsm,QPSK,0,False,0.485,0.0,0.26,0.8,0.04,0.0,0.25,0.0,0.24,0.0
vmifgsm,QPSK,0,True,0.03,0.0,0.98,0.995,0.8,0.0,0.87,0.0,0.945,0.0
vmifgsm,8PSK,0,False,0.345,0.0,0.005,0.065,0.0,0.0,0.005,0.0,0.01,0.0
vmifgsm,8PSK,0,True,0.36,0.0,0.975,1.0,0.77,0.0,0.92,0.01,0.97,0.0
vmifgsm,QAM16,0,False,0.615,0.0,0.0,0.005,0.0,0.13,0.0,0.185,0.0,0.0
vmifgsm,QAM16,0,True,0.57,0.0,0.545,0.875,0.145,0.155,0.365,0.13,0.475,0.0
vmifgsm,QAM64,0,False,0.21,0.0,0.005,0.0,0.005,0.71,0.0,0.255,0.0,0.0
vmifgsm,QAM64,0,True,0.2,0.0,0.02,0.21,0.005,0.74,0.0,0.235,0.035,0.0
vmifgsm,PAM4,0,False,0.755,0.0,0.005,0.19,0.0,0.35,0.01,0.08,0.0,0.0
vmifgsm,PAM4,0,True,0.385,0.0,0.4,0.81,0.445,0.0,0.47,0.0,0.445,0.0
vnifgsm,BPSK,0,False,0.755,0.0,0.9,1.0,0.62,0.0,0.825,0.0,0.865,0.0
vnifgsm,QPSK,0,False,0.485,0.0,0.265,0.8,0.04,0.0,0.215,0.0,0.255,0.0
vnifgsm,QPSK,0,True,0.03,0.0,0.985,0.995,0.78,0.0,0.885,0.0,0.955,0.0
vnifgsm,8PSK,0,False,0.345,0.0,0.01,0.065,0.01,0.0,0.0,0.005,0.005,0.0
vnifgsm,8PSK,0,True,0.36,0.0,0.975,1.0,0.765,0.0,0.93,0.005,0.975,0.0
vnifgsm,QAM16,0,False,0.615,0.0,0.0,0.005,0.005,0.135,0.0,0.15,0.0,0.0
vnifgsm,QAM16,0,True,0.57,0.0,0.525,0.875,0.135,0.18,0.335,0.175,0.49,0.0
vnifgsm,QAM64,0,False,0.21,0.0,0.005,0.0,0.005,0.72,0.01,0.265,0.0,0.0
vnifgsm,QAM64,0,True,0.2,0.0,0.035,0.21,0.005,0.745,0.03,0.24,0.04,0.0
vnifgsm,PAM4,0,False,0.755,0.0,0.02,0.19,0.015,0.325,0.01,0.065,0.03,0.0
vnifgsm,PAM4,0,True,0.385,0.0,0.4,0.81,0.44,0.0,0.485,0.0,0.465,0.0
