mod,snr,scenario,crc_pass_rate,ber,amc_acc
PAM4,0,CW+Top10+AMC,0.01,0.304821,0.63
PAM4,0,Clean+Top10,0.015,0.187321,-1
PAM4,0,CW+Top20,0.095,0.105893,0.74
PAM4,0,CW+Top20+AMC,0.065,0.20375,0.74
PAM4,0,Clean+Top20,0.1,0.099821,-1
PAM4,0,CW+Top30,0.175,0.08875,0.74
PAM4,0,CW+Top30+AMC,0.125,0.190893,0.74
PAM4,0,Clean+Top30,0.175,0.082143,-1
PAM4,0,CW+Top40,0.175,0.085893,0.765
PAM4,0,CW+Top40+AMC,0.14,0.186071,0.765
PAM4,0,Clean+Top40,0.2,0.080893,-1
PAM4,0,CW+Top50,0.205,0.078214,0.74
PAM4,0,CW+Top50+AMC,0.15,0.185357,0.74
PAM4,0,Clean+Top50,0.225,0.075357,-1
CPFSK,0,Clean,0.075,0.251071,0.53
CPFSK,0,Clean+AMC,0.025,0.369643,0.53
CPFSK,0,CW,0.075,0.251071,0.02
CPFSK,0,CW+AMC,0.0,0.493571,0.02
CPFSK,0,CW+Top10,0.075,0.251071,0.02
CPFSK,0,CW+Top10+AMC,0.01,0.49,0.02
CPFSK,0,Clean+Top10,0.075,0.251071,-1
CPFSK,0,CW+Top20,0.075,0.251071,0.08
CPFSK,0,CW+Top20+AMC,0.01,0.476071,0.08
CPFSK,0,Clean+Top20,0.075,0.251071,-1
CPFSK,0,CW+Top30,0.075,0.251071,0.205
CPFSK,0,CW+Top30+AMC,0.02,0.442143,0.205
CPFSK,0,Clean+Top30,0.075,0.251071,-1
CPFSK,0,CW+Top40,0.075,0.251071,0.275
CPFSK,0,CW+Top40+AMC,0.015,0.428571,0.275
CPFSK,0,Clean+Top40,0.075,0.251071,-1
CPFSK,0,CW+Top50,0.075,0.251071,0.33
CPFSK,0,CW+Top50+AMC,0.015,0.415357,0.33
CPFSK,0,Clean+Top50,0.075,0.251071,-1
GFSK,0,Clean,0.07,0.274643,0.025
GFSK,0,Clean+AMC,0.025,0.416071,0.025
GFSK,0,CW,0.07,0.274643,0.02
GFSK,0,CW+AMC,0.025,0.416071,0.02
GFSK,0,CW+Top10,0.07,0.274643,0.035
GFSK,0,CW+Top10+AMC,0.005,0.491071,0.035
GFSK,0,Clean+Top10,0.07,0.274643,-1
GFSK,0,CW+Top20,0.07,0.274643,0.015
GFSK,0,CW+Top20+AMC,0.01,0.468929,0.015
GFSK,0,Clean+Top20,0.07,0.274643,-1
GFSK,0,CW+Top30,0.07,0.274643,0.025
GFSK,0,CW+Top30+AMC,0.015,0.444286,0.025
GFSK,0,Clean+Top30,0.07,0.274643,-1
GFSK,0,CW+Top40,0.07,0.274643,0.025
GFSK,0,CW+Top40+AMC,0.03,0.434643,0.025
GFSK,0,Clean+Top40,0.07,0.274643,-1
GFSK,0,CW+Top50,0.07,0.274643,0.03
GFSK,0,CW+Top50+AMC,0.035,0.425357,0.03
GFSK,0,Clean+Top50,0.07,0.274643,-1
