mod,snr,fec,scenario,crc_pass_rate,amc_acc
QAM64,18,False,Clean+Top20,0.42,-1
QAM64,18,False,CW+Top50,0.93,0.775
QAM64,18,False,CW+Top50+AMC,0.72,0.775
QAM64,18,False,Clean+Top50,0.95,-1
QAM64,18,True,Clean,1.0,0.885
QAM64,18,True,Clean+AMC,0.885,0.885
QAM64,18,True,CW,1.0,0.0
QAM64,18,True,CW+AMC,0.01,0.0
QAM64,18,True,CW+Top10,0.935,0.915
QAM64,18,True,CW+Top10+AMC,0.86,0.915
QAM64,18,True,Clean+Top10,0.93,-1
QAM64,18,True,CW+Top20,1.0,0.855
QAM64,18,True,CW+Top20+AMC,0.855,0.855
QAM64,18,True,Clean+Top20,1.0,-1
QAM64,18,True,CW+Top50,1.0,0.74
QAM64,18,True,CW+Top50+AMC,0.74,0.74
QAM64,18,True,Clean+Top50,1.0,-1
PAM4,18,False,Clean,1.0,0.995
PAM4,18,False,Clean+AMC,0.995,0.995
PAM4,18,False,CW,1.0,0.035
PAM4,18,False,CW+AMC,0.035,0.035
PAM4,18,False,CW+Top10,0.08,0.845
PAM4,18,False,CW+Top10+AMC,0.075,0.845
PAM4,18,False,Clean+Top10,0.09,-1
PAM4,18,False,CW+Top20,0.995,0.915
PAM4,18,False,CW+Top20+AMC,0.91,0.915
PAM4,18,False,Clean+Top20,1.0,-1
PAM4,18,False,CW+Top50,1.0,0.765
PAM4,18,False,CW+Top50+AMC,0.765,0.765
PAM4,18,False,Clean+Top50,1.0,-1
PAM4,18,True,Clean,1.0,0.995
PAM4,18,True,Clean+AMC,0.995,0.995
PAM4,18,True,CW,1.0,0.025
PAM4,18,True,CW+AMC,0.03,0.025
PAM4,18,True,CW+Top10,1.0,0.89
PAM4,18,True,CW+Top10+AMC,0.89,0.89
PAM4,18,True,Clean+Top10,1.0,-1
PAM4,18,True,CW+Top20,1.0,0.92
PAM4,18,True,CW+Top20+AMC,0.92,0.92
PAM4,18,True,Clean+Top20,1.0,-1
PAM4,18,True,CW+Top50,1.0,0.795
PAM4,18,True,CW+Top50+AMC,0.8,0.795
PAM4,18,True,Clean+Top50,1.0,-1
BPSK,0,False,Clean,0.99,0.81
BPSK,0,False,Clean+AMC,0.8,0.81
BPSK,0,False,CW,0.985,0.0
BPSK,0,False,CW+AMC,0.0,0.0
BPSK,0,False,CW+Top10,0.83,0.0
BPSK,0,False,CW+Top10+AMC,0.0,0.0
BPSK,0,False,Clean+Top10,0.835,-1
BPSK,0,False,CW+Top20,0.965,0.13
BPSK,0,False,CW+Top20+AMC,0.125,0.13
BPSK,0,False,Clean+Top20,0.98,-1
BPSK,0,False,CW+Top50,0.985,0.395
BPSK,0,False,CW+Top50+AMC,0.395,0.395
BPSK,0,False,Clean+Top50,0.985,-1
BPSK,0,True,Clean,1.0,0.765
BPSK,0,True,Clean+AMC,0.77,0.765
BPSK,0,True,CW,1.0,0.0
BPSK,0,True,CW+AMC,0.01,0.0
BPSK,0,True,CW+Top10,1.0,0.005
BPSK,0,True,CW+Top10+AMC,0.01,0.005
BPSK,0,True,Clean+Top10,1.0,-1
BPSK,0,True,CW+Top20,1.0,0.105
BPSK,0,True,CW+Top20+AMC,0.11,0.105
BPSK,0,True,Clean+Top20,1.0,-1
BPSK,0,True,CW+Top50,1.0,0.375
BPSK,0,True,CW+Top50+AMC,0.38,0.375
BPSK,0,True,Clean+Top50,1.0,-1
QPSK,0,False,Clean,0.615,0.46
QPSK,0,False,Clean+AMC,0.275,0.46
QPSK,0,False,CW,0.61,0.0
QPSK,0,False,CW+AMC,0.0,0.0
QPSK,0,False,CW+Top10,0.185,0.0
QPSK,0,False,CW+Top10+AMC,0.0,0.0
QPSK,0,False,Clean+Top10,0.19,-1
QPSK,0,False,CW+Top20,0.395,0.03
QPSK,0,False,CW+Top20+AMC,0.02,0.03
QPSK,0,False,Clean+Top20,0.4,-1
QPSK,0,False,CW+Top50,0.6,0.24
QPSK,0,False,CW+Top50+AMC,0.15,0.24
QPSK,0,False,Clean+Top50,0.59,-1
QPSK,0,True,Clean,1.0,0.455
QPSK,0,True,Clean+AMC,0.455,0.455
QPSK,0,True,CW,1.0,0.0
QPSK,0,True,CW+AMC,0.005,0.0
QPSK,0,True,CW+Top10,1.0,0.0
QPSK,0,True,CW+Top10+AMC,0.0,0.0
QPSK,0,True,Clean+Top10,1.0,-1
QPSK,0,True,CW+Top20,1.0,0.04
QPSK,0,True,CW+Top20+AMC,0.04,0.04
QPSK,0,True,Clean+Top20,1.0,-1
QPSK,0,True,CW+Top50,1.0,0.225
QPSK,0,True,CW+Top50+AMC,0.225,0.225
