mod,snr,clean_amc_acc,cw_adv_acc,cw_asr,cw_l2_mean
BPSK,14,0.982,0.278,0.722,0.00725
QPSK,14,0.978,0.01,0.99,0.006878
8PSK,14,0.982,0.008,0.992,0.004713
QAM16,14,0.936,0.018,0.982,0.002296
QAM64,14,0.968,0.008,0.992,0.003135
PAM4,14,0.99,0.034,0.966,0.014089
CPFSK,14,1.0,0.09,0.91,0.011362
GFSK,14,1.0,0.006,0.994,0.004844
