true\pred,QAM16,QAM64,8PSK,WBFM,BPSK,CPFSK,AM-DSB,GFSK,PAM4,QPSK,AM-SSB
QAM16,72.00,24.00,0.50,0.00,0.00,0.50,0.00,0.00,0.50,1.00,1.50
QAM64,47.50,49.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.50
8PSK,0.00,0.00,93.50,0.00,0.00,0.50,0.00,0.00,0.00,5.50,0.50
WBFM,0.00,0.00,0.00,36.50,0.00,0.00,61.50,2.00,0.00,0.00,0.00
BPSK,0.00,0.00,0.00,0.00,99.50,0.00,0.00,0.00,0.50,0.00,0.00
CPFSK,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
AM-DSB,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
GFSK,0.00,0.00,0.00,17.50,0.00,0.50,0.50,81.50,0.00,0.00,0.00
PAM4,0.00,0.00,0.00,0.00,5.50,0.00,0.00,0.00,93.50,0.00,1.00
QPSK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,1.00
AM-SSB,1.00,0.00,29.00,0.50,5.00,5.00,1.00,2.00,11.00,4.00,41.50
