true\pred,QAM16,QAM64,8PSK,WBFM,BPSK,CPFSK,AM-DSB,GFSK,PAM4,QPSK,AM-SSB
QAM16,69.00,26.00,2.00,0.00,0.00,0.50,0.00,0.00,0.50,0.50,1.50
QAM64,64.00,32.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50
8PSK,0.00,0.00,87.50,0.00,0.00,1.00,0.00,0.00,0.00,11.00,0.50
WBFM,0.00,0.00,0.00,20.50,0.00,0.00,74.50,5.00,0.00,0.00,0.00
BPSK,0.00,0.00,0.00,0.00,96.00,0.00,0.00,0.00,0.50,3.50,0.00
CPFSK,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
AM-DSB,0.00,0.00,0.00,11.50,0.00,0.00,88.50,0.00,0.00,0.00,0.00
GFSK,0.00,0.00,0.00,23.00,0.00,1.00,0.00,76.00,0.00,0.00,0.00
PAM4,0.50,0.00,0.00,0.00,43.50,0.00,0.00,0.00,55.00,0.00,1.00
QPSK,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,98.00,1.00
AM-SSB,1.00,0.00,36.00,1.50,10.00,6.00,0.50,5.00,19.50,7.00,13.50
