true\pred,QAM16,QAM64,8PSK,WBFM,BPSK,CPFSK,AM-DSB,GFSK,PAM4,QPSK,AM-SSB
QAM16,74.00,21.00,1.50,0.00,0.00,0.50,0.00,0.00,0.50,1.00,1.50
QAM64,41.00,56.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.50
8PSK,0.00,0.00,94.00,0.00,0.00,0.50,0.00,0.00,0.00,5.00,0.50
WBFM,0.00,0.00,0.00,35.00,0.00,0.00,63.00,2.00,0.00,0.00,0.00
BPSK,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,1.00,0.00,0.00
CPFSK,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
AM-DSB,0.00,0.00,0.00,0.50,0.00,0.00,99.50,0.00,0.00,0.00,0.00
GFSK,0.00,0.00,0.00,10.00,0.00,0.50,0.50,89.00,0.00,0.00,0.00
PAM4,0.00,0.00,0.50,0.00,4.00,0.00,0.00,0.00,95.00,0.00,0.50
QPSK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,1.00
AM-SSB,1.00,0.00,27.50,0.50,8.50,6.00,1.00,1.00,11.00,5.50,38.00
