true\pred,QAM16,QAM64,8PSK,WBFM,BPSK,CPFSK,AM-DSB,GFSK,PAM4,QPSK,AM-SSB
QAM16,37.50,59.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00
QAM64,10.50,85.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50
8PSK,11.50,13.00,61.00,0.00,0.50,1.00,0.00,0.00,0.00,11.50,1.50
WBFM,0.00,0.00,0.00,28.00,0.00,0.00,70.00,2.00,0.00,0.00,0.00
BPSK,0.00,0.00,0.00,0.00,87.50,0.00,0.50,0.00,12.00,0.00,0.00
CPFSK,0.50,1.00,5.50,0.00,0.00,91.00,0.00,1.00,0.00,1.00,0.00
AM-DSB,0.00,0.00,0.00,7.00,0.00,0.00,93.00,0.00,0.00,0.00,0.00
GFSK,0.00,0.00,0.00,16.50,0.00,0.00,0.00,83.50,0.00,0.00,0.00
PAM4,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,94.50,0.00,0.50
QPSK,4.00,2.50,15.50,0.00,0.50,1.00,0.00,0.00,0.00,75.50,1.00
AM-SSB,0.50,0.00,2.50,1.00,1.00,0.00,2.50,0.50,0.50,0.00,91.50
