true\pred,QAM16,QAM64,8PSK,WBFM,BPSK,CPFSK,AM-DSB,GFSK,PAM4,QPSK,AM-SSB
QAM16,73.00,21.50,2.00,0.00,0.00,0.50,0.00,0.00,0.50,1.00,1.50
QAM64,49.50,47.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50
8PSK,0.00,0.00,91.50,0.00,0.00,0.50,0.00,0.00,0.00,7.50,0.50
WBFM,0.00,0.00,0.00,23.00,0.00,0.00,72.50,4.50,0.00,0.00,0.00
BPSK,0.00,0.00,0.00,0.00,97.50,0.00,0.00,0.00,1.00,1.50,0.00
CPFSK,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
AM-DSB,0.00,0.00,0.00,4.50,0.00,0.00,95.50,0.00,0.00,0.00,0.00
GFSK,0.00,0.00,0.00,19.00,0.00,0.50,0.00,80.50,0.00,0.00,0.00
PAM4,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,64.00,0.00,1.00
QPSK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,1.00
AM-SSB,1.50,0.00,31.50,0.50,7.50,7.00,0.50,3.50,18.00,6.00,24.00
