true\pred,QAM16,QAM64,8PSK,WBFM,BPSK,CPFSK,AM-DSB,GFSK,PAM4,QPSK,AM-SSB
QAM16,22.00,75.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00
QAM64,6.00,91.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50
8PSK,12.50,11.50,60.00,0.00,1.50,0.50,0.00,0.00,0.00,12.00,2.00
WBFM,0.00,0.00,0.00,28.00,0.00,0.00,69.50,2.50,0.00,0.00,0.00
BPSK,0.00,0.00,0.00,0.00,72.00,0.00,0.00,0.00,28.00,0.00,0.00
CPFSK,0.00,1.00,10.50,1.50,0.00,83.00,0.00,1.00,0.00,3.00,0.00
AM-DSB,0.00,0.00,0.00,8.00,0.00,0.00,91.50,0.50,0.00,0.00,0.00
GFSK,0.00,0.00,0.00,17.50,0.00,0.00,0.50,82.00,0.00,0.00,0.00
PAM4,0.00,0.50,0.00,0.00,11.00,0.00,0.00,0.00,88.00,0.00,0.50
QPSK,5.50,3.00,21.00,0.00,0.00,1.00,0.00,0.00,0.00,68.50,1.00
AM-SSB,0.00,0.00,5.00,1.50,0.50,1.00,2.50,0.50,0.50,2.50,86.00
