true\pred,QAM16,QAM64,8PSK,WBFM,BPSK,CPFSK,AM-DSB,GFSK,PAM4,QPSK,AM-SSB
QAM16,21.00,76.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
QAM64,4.50,92.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50
8PSK,3.50,4.00,76.00,0.00,0.50,0.50,0.00,0.00,0.00,13.50,2.00
WBFM,0.00,0.00,0.00,21.00,0.00,0.00,74.00,5.00,0.00,0.00,0.00
BPSK,0.00,0.00,0.00,0.00,59.00,0.00,0.50,0.00,40.50,0.00,0.00
CPFSK,0.50,0.50,18.00,0.50,0.00,71.00,0.00,1.00,0.00,8.50,0.00
AM-DSB,0.00,0.00,0.00,22.50,0.00,0.00,76.50,0.50,0.50,0.00,0.00
GFSK,0.00,0.00,0.00,26.50,0.00,0.50,0.00,73.00,0.00,0.00,0.00
PAM4,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,92.50,0.00,0.50
QPSK,3.00,2.00,35.00,0.00,0.00,1.00,0.50,0.00,0.00,58.00,0.50
AM-SSB,0.00,0.00,0.00,0.00,0.00,0.50,8.00,1.50,1.50,0.00,88.50
