attack,mod,snr,fec,scenario,crc_pass_rate,amc_acc
eadl1,PAM4,18,False,Clean+Top10,0.125,-1
eadl1,PAM4,18,False,EADL1+Top20,0.94,0.925
eadl1,PAM4,18,False,EADL1+Top20+AMC,0.865,0.925
eadl1,PAM4,18,False,Clean+Top20,1.0,-1
eadl1,PAM4,18,False,EADL1+Top50,0.98,0.855
eadl1,PAM4,18,False,EADL1+Top50+AMC,0.835,0.855
eadl1,PAM4,18,False,Clean+Top50,1.0,-1
eadl1,PAM4,18,True,Clean,1.0,0.075
eadl1,PAM4,18,True,Clean+AMC,0.14,0.075
eadl1,PAM4,18,True,EADL1,1.0,0.0
eadl1,PAM4,18,True,EADL1+AMC,0.08,0.0
eadl1,PAM4,18,True,EADL1+Top10,0.895,0.005
eadl1,PAM4,18,True,EADL1+Top10+AMC,0.005,0.005
eadl1,PAM4,18,True,Clean+Top10,0.9,-1
eadl1,PAM4,18,True,EADL1+Top20,1.0,0.05
eadl1,PAM4,18,True,EADL1+Top20+AMC,0.095,0.05
eadl1,PAM4,18,True,Clean+Top20,1.0,-1
eadl1,PAM4,18,True,EADL1+Top50,1.0,0.03
eadl1,PAM4,18,True,EADL1+Top50+AMC,0.09,0.03
eadl1,PAM4,18,True,Clean+Top50,1.0,-1
eadl1,CPFSK,18,False,Clean,1.0,1.0
eadl1,CPFSK,18,False,Clean+AMC,1.0,1.0
eadl1,CPFSK,18,False,EADL1,1.0,0.0
eadl1,CPFSK,18,False,EADL1+AMC,0.0,0.0
eadl1,CPFSK,18,False,EADL1+Top10,1.0,0.045
eadl1,CPFSK,18,False,EADL1+Top10+AMC,0.045,0.045
eadl1,CPFSK,18,False,Clean+Top10,1.0,-1
eadl1,CPFSK,18,False,EADL1+Top20,1.0,0.44
eadl1,CPFSK,18,False,EADL1+Top20+AMC,0.44,0.44
eadl1,CPFSK,18,False,Clean+Top20,1.0,-1
eadl1,CPFSK,18,False,EADL1+Top50,1.0,0.705
eadl1,CPFSK,18,False,EADL1+Top50+AMC,0.705,0.705
eadl1,CPFSK,18,False,Clean+Top50,1.0,-1
eadl1,GFSK,18,False,Clean,0.99,0.005
eadl1,GFSK,18,False,Clean+AMC,0.895,0.005
eadl1,GFSK,18,False,EADL1,0.99,0.0
eadl1,GFSK,18,False,EADL1+AMC,0.89,0.0
eadl1,GFSK,18,False,EADL1+Top10,0.99,0.02
eadl1,GFSK,18,False,EADL1+Top10+AMC,0.075,0.02
eadl1,GFSK,18,False,Clean+Top10,0.99,-1
eadl1,GFSK,18,False,EADL1+Top20,0.99,0.0
eadl1,GFSK,18,False,EADL1+Top20+AMC,0.76,0.0
eadl1,GFSK,18,False,Clean+Top20,0.99,-1
eadl1,GFSK,18,False,EADL1+Top50,0.99,0.005
eadl1,GFSK,18,False,EADL1+Top50+AMC,0.885,0.005
eadl1,GFSK,18,False,Clean+Top50,0.99,-1
eadl1,BPSK,0,False,Clean,1.0,0.77
eadl1,BPSK,0,False,Clean+AMC,0.77,0.77
eadl1,BPSK,0,False,EADL1,1.0,0.0
eadl1,BPSK,0,False,EADL1+AMC,0.0,0.0
eadl1,BPSK,0,False,EADL1+Top10,0.78,0.015
eadl1,BPSK,0,False,EADL1+Top10+AMC,0.025,0.015
eadl1,BPSK,0,False,Clean+Top10,0.795,-1
eadl1,BPSK,0,False,EADL1+Top20,0.96,0.135
eadl1,BPSK,0,False,EADL1+Top20+AMC,0.13,0.135
eadl1,BPSK,0,False,Clean+Top20,0.98,-1
eadl1,BPSK,0,False,EADL1+Top50,0.995,0.365
eadl1,BPSK,0,False,EADL1+Top50+AMC,0.365,0.365
eadl1,BPSK,0,False,Clean+Top50,0.995,-1
eadl1,QPSK,0,False,Clean,0.76,0.49
eadl1,QPSK,0,False,Clean+AMC,0.405,0.49
eadl1,QPSK,0,False,EADL1,0.75,0.0
eadl1,QPSK,0,False,EADL1+AMC,0.0,0.0
eadl1,QPSK,0,False,EADL1+Top10,0.195,0.0
eadl1,QPSK,0,False,EADL1+Top10+AMC,0.005,0.0
eadl1,QPSK,0,False,Clean+Top10,0.205,-1
eadl1,QPSK,0,False,EADL1+Top20,0.495,0.02
eadl1,QPSK,0,False,EADL1+Top20+AMC,0.015,0.02
eadl1,QPSK,0,False,Clean+Top20,0.505,-1
eadl1,QPSK,0,False,EADL1+Top50,0.68,0.23
eadl1,QPSK,0,False,EADL1+Top50+AMC,0.185,0.23
eadl1,QPSK,0,False,Clean+Top50,0.7,-1
eadl1,QPSK,0,True,Clean,1.0,0.03
eadl1,QPSK,0,True,Clean+AMC,0.03,0.03
eadl1,QPSK,0,True,EADL1,1.0,0.0
eadl1,QPSK,0,True,EADL1+AMC,0.0,0.0
eadl1,QPSK,0,True,EADL1+Top10,0.915,0.0
eadl1,QPSK,0,True,EADL1+Top10+AMC,0.0,0.0
eadl1,QPSK,0,True,Clean+Top10,0.915,-1
eadl1,QPSK,0,True,EADL1+Top20,0.975,0.0
eadl1,QPSK,0,True,EADL1+Top20+AMC,0.005,0.0
eadl1,QPSK,0,True,Clean+Top20,0.975,-1
eadl1,QPSK,0,True,EADL1+Top50,1.0,0.03
eadl1,QPSK,0,True,EADL1+Top50+AMC,0.035,0.03
eadl1,QPSK,0,True,Clean+Top50,1.0,-1
eadl1,8PSK,0,False,Clean,0.055,0.43
eadl1,8PSK,0,False,Clean+AMC,0.02,0.43
eadl1,8PSK,0,False,EADL1,0.055,0.0
eadl1,8PSK,0,False,EADL1+AMC,0.0,0.0
eadl1,8PSK,0,False,EADL1+Top10,0.005,0.0
eadl1,8PSK,0,False,EADL1+Top10+AMC,0.0,0.0
eadl1,8PSK,0,False,Clean+Top10,0.005,-1
eadl1,8PSK,0,False,EADL1+Top20,0.025,0.085
eadl1,8PSK,0,False,EADL1+Top20+AMC,0.005,0.085
eadl1,8PSK,0,False,Clean+Top20,0.025,-1
eadl1,8PSK,0,False,EADL1+Top50,0.04,0.365
eadl1,8PSK,0,False,EADL1+Top50+AMC,0.01,0.365
eadl1,8PSK,0,False,Clean+Top50,0.04,-1
eadl1,8PSK,0,True,Clean,0.995,0.375
eadl1,8PSK,0,True,Clean+AMC,0.375,0.375
eadl1,8PSK,0,True,EADL1,0.995,0.0
eadl1,8PSK,0,True,EADL1+AMC,0.0,0.0
eadl1,8PSK,0,True,EADL1+Top10,0.86,0.0
eadl1,8PSK,0,True,EADL1+Top10+AMC,0.01,0.0
eadl1,8PSK,0,True,Clean+Top10,0.86,-1
eadl1,8PSK,0,True,EADL1+Top20,0.965,0.085
eadl1,8PSK,0,True,EADL1+Top20+AMC,0.08,0.085
eadl1,8PSK,0,True,Clean+Top20,0.97,-1
eadl1,8PSK,0,True,EADL1+Top50,0.98,0.34
eadl1,8PSK,0,True,EADL1+Top50+AMC,0.335,0.34
eadl1,8PSK,0,True,Clean+Top50,0.98,-1
eadl1,QAM16,0,False,Clean,0.0,0.615
eadl1,QAM16,0,False,Clean+AMC,0.0,0.615
eadl1,QAM16,0,False,EADL1,0.0,0.0
eadl1,QAM16,0,False,EADL1+AMC,0.0,0.0
eadl1,QAM16,0,False,EADL1+Top10,0.01,0.085
eadl1,QAM16,0,False,EADL1+Top10+AMC,0.005,0.085
eadl1,QAM16,0,False,Clean+Top10,0.005,-1
eadl1,QAM16,0,False,EADL1+Top20,0.0,0.35
eadl1,QAM16,0,False,EADL1+Top20+AMC,0.0,0.35
eadl1,QAM16,0,False,Clean+Top20,0.0,-1
eadl1,QAM16,0,False,EADL1+Top50,0.015,0.575
eadl1,QAM16,0,False,EADL1+Top50+AMC,0.005,0.575
eadl1,QAM16,0,False,Clean+Top50,0.015,-1
eadl1,QAM16,0,True,Clean,0.86,0.62
eadl1,QAM16,0,True,Clean+AMC,0.525,0.62
eadl1,QAM16,0,True,EADL1,0.86,0.0
eadl1,QAM16,0,True,EADL1+AMC,0.0,0.0
eadl1,QAM16,0,True,EADL1+Top10,0.425,0.1
eadl1,QAM16,0,True,EADL1+Top10+AMC,0.05,0.1
eadl1,QAM16,0,True,Clean+Top10,0.43,-1
eadl1,QAM16,0,True,EADL1+Top20,0.715,0.26
eadl1,QAM16,0,True,EADL1+Top20+AMC,0.17,0.26
eadl1,QAM16,0,True,Clean+Top20,0.705,-1
eadl1,QAM16,0,True,EADL1+Top50,0.85,0.525
eadl1,QAM16,0,True,EADL1+Top50+AMC,0.445,0.525
eadl1,QAM16,0,True,Clean+Top50,0.84,-1
eadl1,QAM64,0,False,Clean,0.0,0.18
eadl1,QAM64,0,False,Clean+AMC,0.01,0.18
eadl1,QAM64,0,False,EADL1,0.0,0.0
eadl1,QAM64,0,False,EADL1+AMC,0.01,0.0
eadl1,QAM64,0,False,EADL1+Top10,0.0,0.885
eadl1,QAM64,0,False,EADL1+Top10+AMC,0.0,0.885
eadl1,QAM64,0,False,Clean+Top10,0.0,-1
eadl1,QAM64,0,False,EADL1+Top20,0.0,0.665
eadl1,QAM64,0,False,EADL1+Top20+AMC,0.0,0.665
eadl1,QAM64,0,False,Clean+Top20,0.0,-1
eadl1,QAM64,0,False,EADL1+Top50,0.0,0.275
eadl1,QAM64,0,False,EADL1+Top50+AMC,0.0,0.275
eadl1,QAM64,0,False,Clean+Top50,0.0,-1
eadl1,QAM64,0,True,Clean,0.195,0.15
eadl1,QAM64,0,True,Clean+AMC,0.03,0.15
eadl1,QAM64,0,True,EADL1,0.195,0.0
eadl1,QAM64,0,True,EADL1+AMC,0.005,0.0
eadl1,QAM64,0,True,EADL1+Top10,0.005,0.9
eadl1,QAM64,0,True,EADL1+Top10+AMC,0.005,0.9
eadl1,QAM64,0,True,Clean+Top10,0.005,-1
eadl1,QAM64,0,True,EADL1+Top20,0.05,0.605
eadl1,QAM64,0,True,EADL1+Top20+AMC,0.03,0.605
eadl1,QAM64,0,True,Clean+Top20,0.05,-1
eadl1,QAM64,0,True,EADL1+Top50,0.14,0.28
eadl1,QAM64,0,True,EADL1+Top50+AMC,0.045,0.28
eadl1,QAM64,0,True,Clean+Top50,0.145,-1
eadl1,PAM4,0,False,Clean,0.2,0.825
eadl1,PAM4,0,False,Clean+AMC,0.175,0.825
eadl1,PAM4,0,False,EADL1,0.21,0.0
eadl1,PAM4,0,False,EADL1+AMC,0.0,0.0
eadl1,PAM4,0,False,EADL1+Top10,0.015,0.63
eadl1,PAM4,0,False,EADL1+Top10+AMC,0.01,0.63
eadl1,PAM4,0,False,Clean+Top10,0.01,-1
eadl1,PAM4,0,False,EADL1+Top20,0.09,0.66
eadl1,PAM4,0,False,EADL1+Top20+AMC,0.06,0.66
eadl1,PAM4,0,False,Clean+Top20,0.105,-1
eadl1,PAM4,0,False,EADL1+Top50,0.195,0.765
eadl1,PAM4,0,False,EADL1+Top50+AMC,0.16,0.765
eadl1,PAM4,0,False,Clean+Top50,0.2,-1
eadl1,PAM4,0,True,Clean,0.815,0.375
eadl1,PAM4,0,True,Clean+AMC,0.455,0.375
eadl1,PAM4,0,True,EADL1,0.815,0.0
eadl1,PAM4,0,True,EADL1+AMC,0.3,0.0
eadl1,PAM4,0,True,EADL1+Top10,0.65,0.12
eadl1,PAM4,0,True,EADL1+Top10+AMC,0.1,0.12
eadl1,PAM4,0,True,Clean+Top10,0.635,-1
eadl1,PAM4,0,True,EADL1+Top20,0.73,0.2
eadl1,PAM4,0,True,EADL1+Top20+AMC,0.215,0.2
eadl1,PAM4,0,True,Clean+Top20,0.76,-1
eadl1,PAM4,0,True,EADL1+Top50,0.81,0.23
eadl1,PAM4,0,True,EADL1+Top50+AMC,0.31,0.23
eadl1,PAM4,0,True,Clean+Top50,0.81,-1
eadl1,CPFSK,0,False,Clean,0.095,0.545
eadl1,CPFSK,0,False,Clean+AMC,0.05,0.545
eadl1,CPFSK,0,False,EADL1,0.095,0.0
eadl1,CPFSK,0,False,EADL1+AMC,0.0,0.0
eadl1,CPFSK,0,False,EADL1+Top10,0.095,0.025
eadl1,CPFSK,0,False,EADL1+Top10+AMC,0.0,0.025
eadl1,CPFSK,0,False,Clean+Top10,0.095,-1
eadl1,CPFSK,0,False,EADL1+Top20,0.095,0.1
eadl1,CPFSK,0,False,EADL1+Top20+AMC,0.005,0.1
eadl1,CPFSK,0,False,Clean+Top20,0.095,-1
eadl1,CPFSK,0,False,EADL1+Top50,0.095,0.325
eadl1,CPFSK,0,False,EADL1+Top50+AMC,0.03,0.325
eadl1,CPFSK,0,False,Clean+Top50,0.095,-1
eadl1,GFSK,0,False,Clean,0.04,0.005
eadl1,GFSK,0,False,Clean+AMC,0.015,0.005
eadl1,GFSK,0,False,EADL1,0.04,0.0
eadl1,GFSK,0,False,EADL1+AMC,0.015,0.0
eadl1,GFSK,0,False,EADL1+Top10,0.04,0.03
eadl1,GFSK,0,False,EADL1+Top10+AMC,0.005,0.03
eadl1,GFSK,0,False,Clean+Top10,0.04,-1
eadl1,GFSK,0,False,EADL1+Top20,0.04,0.015
eadl1,GFSK,0,False,EADL1+Top20+AMC,0.01,0.015
eadl1,GFSK,0,False,Clean+Top20,0.04,-1
eadl1,GFSK,0,False,EADL1+Top50,0.04,0.01
eadl1,GFSK,0,False,EADL1+Top50+AMC,0.015,0.01
eadl1,GFSK,0,False,Clean+Top50,0.04,-1
