attack,mod,snr,fec,scenario,crc_pass_rate,amc_acc
eaden,QAM64,18,False,EADEN,0.89,0.0
eaden,QAM64,18,False,EADEN+AMC,0.005,0.0
eaden,QAM64,18,False,EADEN+Top10,0.0,0.92
eaden,QAM64,18,False,EADEN+Top10+AMC,0.0,0.92
eaden,QAM64,18,False,Clean+Top10,0.0,-1
eaden,QAM64,18,False,EADEN+Top20,0.375,0.91
eaden,QAM64,18,False,EADEN+Top20+AMC,0.34,0.91
eaden,QAM64,18,False,Clean+Top20,0.45,-1
eaden,QAM64,18,False,EADEN+Top50,0.815,0.81
eaden,QAM64,18,False,EADEN+Top50+AMC,0.65,0.81
eaden,QAM64,18,False,Clean+Top50,0.865,-1
eaden,QAM64,18,True,Clean,1.0,0.925
eaden,QAM64,18,True,Clean+AMC,0.925,0.925
eaden,QAM64,18,True,EADEN,1.0,0.0
eaden,QAM64,18,True,EADEN+AMC,0.01,0.0
eaden,QAM64,18,True,EADEN+Top10,0.225,0.955
eaden,QAM64,18,True,EADEN+Top10+AMC,0.21,0.955
eaden,QAM64,18,True,Clean+Top10,0.225,-1
eaden,QAM64,18,True,EADEN+Top20,0.985,0.855
eaden,QAM64,18,True,EADEN+Top20+AMC,0.845,0.855
eaden,QAM64,18,True,Clean+Top20,0.99,-1
eaden,QAM64,18,True,EADEN+Top50,1.0,0.79
eaden,QAM64,18,True,EADEN+Top50+AMC,0.79,0.79
eaden,QAM64,18,True,Clean+Top50,1.0,-1
eaden,PAM4,18,False,Clean,1.0,1.0
eaden,PAM4,18,False,Clean+AMC,1.0,1.0
eaden,PAM4,18,False,EADEN,0.985,0.0
eaden,PAM4,18,False,EADEN+AMC,0.0,0.0
eaden,PAM4,18,False,EADEN+Top10,0.085,0.895
eaden,PAM4,18,False,EADEN+Top10+AMC,0.075,0.895
eaden,PAM4,18,False,Clean+Top10,0.125,-1
eaden,PAM4,18,False,EADEN+Top20,0.945,0.945
eaden,PAM4,18,False,EADEN+Top20+AMC,0.89,0.945
eaden,PAM4,18,False,Clean+Top20,1.0,-1
eaden,PAM4,18,False,EADEN+Top50,0.98,0.855
eaden,PAM4,18,False,EADEN+Top50+AMC,0.835,0.855
eaden,PAM4,18,False,Clean+Top50,1.0,-1
eaden,PAM4,18,True,Clean,1.0,0.075
eaden,PAM4,18,True,Clean+AMC,0.14,0.075
eaden,PAM4,18,True,EADEN,1.0,0.0
eaden,PAM4,18,True,EADEN+AMC,0.08,0.0
eaden,PAM4,18,True,EADEN+Top10,0.895,0.005
eaden,PAM4,18,True,EADEN+Top10+AMC,0.005,0.005
eaden,PAM4,18,True,Clean+Top10,0.9,-1
eaden,PAM4,18,True,EADEN+Top20,1.0,0.05
eaden,PAM4,18,True,EADEN+Top20+AMC,0.095,0.05
eaden,PAM4,18,True,Clean+Top20,1.0,-1
eaden,PAM4,18,True,EADEN+Top50,1.0,0.025
eaden,PAM4,18,True,EADEN+Top50+AMC,0.085,0.025
eaden,PAM4,18,True,Clean+Top50,1.0,-1
eaden,CPFSK,18,False,Clean,1.0,1.0
eaden,CPFSK,18,False,Clean+AMC,1.0,1.0
eaden,CPFSK,18,False,EADEN,1.0,0.0
eaden,CPFSK,18,False,EADEN+AMC,0.0,0.0
eaden,CPFSK,18,False,EADEN+Top10,1.0,0.045
eaden,CPFSK,18,False,EADEN+Top10+AMC,0.045,0.045
eaden,CPFSK,18,False,Clean+Top10,1.0,-1
eaden,CPFSK,18,False,EADEN+Top20,1.0,0.445
eaden,CPFSK,18,False,EADEN+Top20+AMC,0.445,0.445
eaden,CPFSK,18,False,Clean+Top20,1.0,-1
eaden,CPFSK,18,False,EADEN+Top50,1.0,0.69
eaden,CPFSK,18,False,EADEN+Top50+AMC,0.69,0.69
eaden,CPFSK,18,False,Clean+Top50,1.0,-1
eaden,GFSK,18,False,Clean,0.99,0.005
eaden,GFSK,18,False,Clean+AMC,0.895,0.005
eaden,GFSK,18,False,EADEN,0.99,0.0
eaden,GFSK,18,False,EADEN+AMC,0.89,0.0
eaden,GFSK,18,False,EADEN+Top10,0.99,0.02
eaden,GFSK,18,False,EADEN+Top10+AMC,0.075,0.02
eaden,GFSK,18,False,Clean+Top10,0.99,-1
eaden,GFSK,18,False,EADEN+Top20,0.99,0.0
eaden,GFSK,18,False,EADEN+Top20+AMC,0.76,0.0
eaden,GFSK,18,False,Clean+Top20,0.99,-1
eaden,GFSK,18,False,EADEN+Top50,0.99,0.005
eaden,GFSK,18,False,EADEN+Top50+AMC,0.885,0.005
eaden,GFSK,18,False,Clean+Top50,0.99,-1
eaden,BPSK,0,False,Clean,1.0,0.77
eaden,BPSK,0,False,Clean+AMC,0.77,0.77
eaden,BPSK,0,False,EADEN,1.0,0.0
eaden,BPSK,0,False,EADEN+AMC,0.0,0.0
eaden,BPSK,0,False,EADEN+Top10,0.77,0.015
eaden,BPSK,0,False,EADEN+Top10+AMC,0.02,0.015
eaden,BPSK,0,False,Clean+Top10,0.795,-1
eaden,BPSK,0,False,EADEN+Top20,0.97,0.11
eaden,BPSK,0,False,EADEN+Top20+AMC,0.105,0.11
eaden,BPSK,0,False,Clean+Top20,0.98,-1
eaden,BPSK,0,False,EADEN+Top50,0.995,0.355
eaden,BPSK,0,False,EADEN+Top50+AMC,0.355,0.355
eaden,BPSK,0,False,Clean+Top50,0.995,-1
eaden,QPSK,0,False,Clean,0.76,0.49
eaden,QPSK,0,False,Clean+AMC,0.405,0.49
eaden,QPSK,0,False,EADEN,0.755,0.0
eaden,QPSK,0,False,EADEN+AMC,0.0,0.0
eaden,QPSK,0,False,EADEN+Top10,0.195,0.0
eaden,QPSK,0,False,EADEN+Top10+AMC,0.0,0.0
eaden,QPSK,0,False,Clean+Top10,0.205,-1
eaden,QPSK,0,False,EADEN+Top20,0.485,0.01
eaden,QPSK,0,False,EADEN+Top20+AMC,0.005,0.01
eaden,QPSK,0,False,Clean+Top20,0.505,-1
eaden,QPSK,0,False,EADEN+Top50,0.69,0.2
eaden,QPSK,0,False,EADEN+Top50+AMC,0.17,0.2
eaden,QPSK,0,False,Clean+Top50,0.7,-1
eaden,QPSK,0,True,Clean,1.0,0.03
eaden,QPSK,0,True,Clean+AMC,0.03,0.03
eaden,QPSK,0,True,EADEN,1.0,0.0
eaden,QPSK,0,True,EADEN+AMC,0.0,0.0
eaden,QPSK,0,True,EADEN+Top10,0.915,0.0
eaden,QPSK,0,True,EADEN+Top10+AMC,0.0,0.0
eaden,QPSK,0,True,Clean+Top10,0.915,-1
eaden,QPSK,0,True,EADEN+Top20,0.975,0.0
eaden,QPSK,0,True,EADEN+Top20+AMC,0.005,0.0
eaden,QPSK,0,True,Clean+Top20,0.975,-1
eaden,QPSK,0,True,EADEN+Top50,1.0,0.035
eaden,QPSK,0,True,EADEN+Top50+AMC,0.04,0.035
eaden,QPSK,0,True,Clean+Top50,1.0,-1
eaden,8PSK,0,False,Clean,0.055,0.43
eaden,8PSK,0,False,Clean+AMC,0.02,0.43
eaden,8PSK,0,False,EADEN,0.05,0.0
eaden,8PSK,0,False,EADEN+AMC,0.0,0.0
eaden,8PSK,0,False,EADEN+Top10,0.005,0.0
eaden,8PSK,0,False,EADEN+Top10+AMC,0.0,0.0
eaden,8PSK,0,False,Clean+Top10,0.005,-1
eaden,8PSK,0,False,EADEN+Top20,0.03,0.08
eaden,8PSK,0,False,EADEN+Top20+AMC,0.0,0.08
eaden,8PSK,0,False,Clean+Top20,0.025,-1
eaden,8PSK,0,False,EADEN+Top50,0.04,0.35
eaden,8PSK,0,False,EADEN+Top50+AMC,0.01,0.35
eaden,8PSK,0,False,Clean+Top50,0.04,-1
eaden,8PSK,0,True,Clean,0.995,0.375
eaden,8PSK,0,True,Clean+AMC,0.375,0.375
eaden,8PSK,0,True,EADEN,0.995,0.0
eaden,8PSK,0,True,EADEN+AMC,0.0,0.0
eaden,8PSK,0,True,EADEN+Top10,0.86,0.0
eaden,8PSK,0,True,EADEN+Top10+AMC,0.01,0.0
eaden,8PSK,0,True,Clean+Top10,0.86,-1
eaden,8PSK,0,True,EADEN+Top20,0.97,0.075
eaden,8PSK,0,True,EADEN+Top20+AMC,0.075,0.075
eaden,8PSK,0,True,Clean+Top20,0.97,-1
eaden,8PSK,0,True,EADEN+Top50,0.98,0.34
eaden,8PSK,0,True,EADEN+Top50+AMC,0.335,0.34
eaden,8PSK,0,True,Clean+Top50,0.98,-1
eaden,QAM16,0,False,Clean,0.0,0.615
eaden,QAM16,0,False,Clean+AMC,0.0,0.615
eaden,QAM16,0,False,EADEN,0.0,0.0
eaden,QAM16,0,False,EADEN+AMC,0.005,0.0
eaden,QAM16,0,False,EADEN+Top10,0.01,0.085
eaden,QAM16,0,False,EADEN+Top10+AMC,0.005,0.085
