norm_mode,modulation,snr,sample_type,n_samples,attack_acc,top10_acc,top20_acc
unit,WBFM,18,bim,50,0.0,0.0,0.0
unit,WBFM,18,cw,50,0.0,0.0,0.0
unit,WBFM,18,deepfool,50,2.0,38.0,26.0
unit,WBFM,18,eaden,50,0.0,28.0,16.0
unit,WBFM,18,eadl1,50,0.0,28.0,16.0
unit,WBFM,18,eotpgd,50,0.0,0.0,0.0
unit,WBFM,18,ffgsm,50,0.0,0.0,0.0
unit,WBFM,18,fgsm,50,0.0,0.0,0.0
unit,WBFM,18,jitter,50,0.0,0.0,0.0
unit,WBFM,18,mifgsm,50,0.0,0.0,0.0
unit,WBFM,18,pgd,50,0.0,0.0,0.0
unit,WBFM,18,pgdl2,50,0.0,0.0,0.0
unit,WBFM,18,rfgsm,50,0.0,0.0,0.0
unit,WBFM,18,upgd,50,0.0,0.0,0.0
unit,WBFM,18,vmifgsm,50,0.0,0.0,0.0
unit,WBFM,18,vnifgsm,50,0.0,0.0,0.0
