mod,snr,scenario,ser
BPSK,18,Clean+Oracle,0.0
BPSK,18,Clean+AMC,None
BPSK,18,Adv+Oracle,0.0
BPSK,18,Adv+AMC,None
BPSK,12,Clean+Oracle,0.0
BPSK,12,Clean+AMC,None
BPSK,12,Adv+Oracle,0.0
BPSK,12,Adv+AMC,None
BPSK,6,Clean+Oracle,0.0
BPSK,6,Clean+AMC,None
BPSK,6,Adv+Oracle,0.0
BPSK,6,Adv+AMC,None
BPSK,0,Clean+Oracle,0.000313
BPSK,0,Clean+AMC,None
BPSK,0,Adv+Oracle,0.0
BPSK,0,Adv+AMC,None
QPSK,18,Clean+Oracle,0.0
QPSK,18,Clean+AMC,None
QPSK,18,Adv+Oracle,0.0
QPSK,18,Adv+AMC,None
QPSK,12,Clean+Oracle,0.0
QPSK,12,Clean+AMC,None
QPSK,12,Adv+Oracle,0.0
QPSK,12,Adv+AMC,None
QPSK,6,Clean+Oracle,0.0
QPSK,6,Clean+AMC,None
QPSK,6,Adv+Oracle,0.0
QPSK,6,Adv+AMC,None
QPSK,0,Clean+Oracle,0.018125
QPSK,0,Clean+AMC,None
QPSK,0,Adv+Oracle,0.02
QPSK,0,Adv+AMC,None
8PSK,18,Clean+Oracle,0.0
8PSK,18,Clean+AMC,None
8PSK,18,Adv+Oracle,0.0
8PSK,18,Adv+AMC,None
8PSK,12,Clean+Oracle,0.0
8PSK,12,Clean+AMC,None
8PSK,12,Adv+Oracle,0.0
8PSK,12,Adv+AMC,None
8PSK,6,Clean+Oracle,0.017812
8PSK,6,Clean+AMC,None
8PSK,6,Adv+Oracle,0.025
8PSK,6,Adv+AMC,None
8PSK,0,Clean+Oracle,0.200313
8PSK,0,Clean+AMC,None
8PSK,0,Adv+Oracle,0.201875
8PSK,0,Adv+AMC,None
QAM16,18,Clean+Oracle,0.0
QAM16,18,Clean+AMC,None
QAM16,18,Adv+Oracle,0.0
QAM16,18,Adv+AMC,None
QAM16,12,Clean+Oracle,0.003438
QAM16,12,Clean+AMC,None
QAM16,12,Adv+Oracle,0.004375
QAM16,12,Adv+AMC,None
QAM16,6,Clean+Oracle,0.079375
QAM16,6,Clean+AMC,None
QAM16,6,Adv+Oracle,0.085938
QAM16,6,Adv+AMC,None
QAM16,0,Clean+Oracle,0.414062
QAM16,0,Clean+AMC,None
QAM16,0,Adv+Oracle,0.4175
QAM16,0,Adv+AMC,None
QAM64,18,Clean+Oracle,0.01125
QAM64,18,Clean+AMC,None
QAM64,18,Adv+Oracle,0.045312
QAM64,18,Adv+AMC,None
QAM64,12,Clean+Oracle,0.128125
QAM64,12,Clean+AMC,None
QAM64,12,Adv+Oracle,0.165625
QAM64,12,Adv+AMC,None
QAM64,6,Clean+Oracle,0.455313
QAM64,6,Clean+AMC,None
QAM64,6,Adv+Oracle,0.460938
QAM64,6,Adv+AMC,None
QAM64,0,Clean+Oracle,0.757812
QAM64,0,Clean+AMC,None
QAM64,0,Adv+Oracle,0.756875
QAM64,0,Adv+AMC,None
PAM4,18,Clean+Oracle,0.0
PAM4,18,Clean+AMC,None
PAM4,18,Adv+Oracle,0.020313
PAM4,18,Adv+AMC,None
PAM4,12,Clean+Oracle,0.0
PAM4,12,Clean+AMC,None
PAM4,12,Adv+Oracle,0.018437
PAM4,12,Adv+AMC,None
PAM4,6,Clean+Oracle,0.00625
PAM4,6,Clean+AMC,None
PAM4,6,Adv+Oracle,0.029063
PAM4,6,Adv+AMC,None
PAM4,0,Clean+Oracle,0.126875
PAM4,0,Clean+AMC,None
PAM4,0,Adv+Oracle,0.153438
PAM4,0,Adv+AMC,None
CPFSK,18,Clean+Oracle,None
CPFSK,18,Clean+AMC,None
CPFSK,18,Adv+Oracle,None
CPFSK,18,Adv+AMC,None
CPFSK,12,Clean+Oracle,None
CPFSK,12,Clean+AMC,None
CPFSK,12,Adv+Oracle,None
CPFSK,12,Adv+AMC,None
CPFSK,6,Clean+Oracle,None
CPFSK,6,Clean+AMC,None
CPFSK,6,Adv+Oracle,None
CPFSK,6,Adv+AMC,None
CPFSK,0,Clean+Oracle,None
CPFSK,0,Clean+AMC,None
CPFSK,0,Adv+Oracle,None
CPFSK,0,Adv+AMC,None
GFSK,18,Clean+Oracle,None
GFSK,18,Clean+AMC,None
GFSK,18,Adv+Oracle,None
GFSK,18,Adv+AMC,None
GFSK,12,Clean+Oracle,None
GFSK,12,Clean+AMC,None
GFSK,12,Adv+Oracle,None
GFSK,12,Adv+AMC,None
GFSK,6,Clean+Oracle,None
GFSK,6,Clean+AMC,None
GFSK,6,Adv+Oracle,None
GFSK,6,Adv+AMC,None
GFSK,0,Clean+Oracle,None
GFSK,0,Clean+AMC,None
GFSK,0,Adv+Oracle,None
GFSK,0,Adv+AMC,None
