mod,snr,jammer_power_db,jammer_crc
BPSK,18,0,1.0
BPSK,18,3,1.0
BPSK,18,6,1.0
BPSK,18,9,1.0
BPSK,18,12,1.0
BPSK,18,15,1.0
BPSK,12,0,1.0
BPSK,12,3,1.0
BPSK,12,6,1.0
BPSK,12,9,1.0
BPSK,12,12,1.0
BPSK,12,15,1.0
BPSK,6,0,1.0
BPSK,6,3,1.0
BPSK,6,6,1.0
BPSK,6,9,1.0
BPSK,6,12,1.0
BPSK,6,15,1.0
BPSK,0,0,0.995
BPSK,0,3,0.995
BPSK,0,6,0.995
BPSK,0,9,0.995
BPSK,0,12,0.995
BPSK,0,15,0.995
QPSK,18,0,1.0
QPSK,18,3,1.0
QPSK,18,6,1.0
QPSK,18,9,1.0
QPSK,18,12,1.0
QPSK,18,15,1.0
QPSK,12,0,1.0
QPSK,12,3,1.0
QPSK,12,6,1.0
QPSK,12,9,1.0
QPSK,12,12,1.0
QPSK,12,15,1.0
QPSK,6,0,1.0
QPSK,6,3,1.0
QPSK,6,6,1.0
QPSK,6,9,1.0
QPSK,6,12,1.0
QPSK,6,15,1.0
QPSK,0,0,0.76
QPSK,0,3,0.76
QPSK,0,6,0.76
QPSK,0,9,0.76
QPSK,0,12,0.76
QPSK,0,15,0.76
8PSK,18,0,1.0
8PSK,18,3,1.0
8PSK,18,6,1.0
8PSK,18,9,1.0
8PSK,18,12,1.0
8PSK,18,15,1.0
8PSK,12,0,1.0
8PSK,12,3,1.0
8PSK,12,6,1.0
8PSK,12,9,1.0
8PSK,12,12,1.0
8PSK,12,15,1.0
8PSK,6,0,0.785
8PSK,6,3,0.785
8PSK,6,6,0.785
8PSK,6,9,0.785
8PSK,6,12,0.785
8PSK,6,15,0.785
8PSK,0,0,0.045
8PSK,0,3,0.045
8PSK,0,6,0.045
8PSK,0,9,0.045
8PSK,0,12,0.045
8PSK,0,15,0.045
QAM16,18,0,1.0
QAM16,18,3,1.0
QAM16,18,6,1.0
QAM16,18,9,1.0
QAM16,18,12,1.0
QAM16,18,15,1.0
QAM16,12,0,0.965
QAM16,12,3,0.965
QAM16,12,6,0.965
QAM16,12,9,0.965
QAM16,12,12,0.965
QAM16,12,15,0.965
QAM16,6,0,0.405
QAM16,6,3,0.405
QAM16,6,6,0.405
QAM16,6,9,0.405
QAM16,6,12,0.405
QAM16,6,15,0.405
QAM16,0,0,0.0
QAM16,0,3,0.0
QAM16,0,6,0.0
QAM16,0,9,0.0
QAM16,0,12,0.0
QAM16,0,15,0.0
QAM64,18,0,0.94
QAM64,18,3,0.94
QAM64,18,6,0.94
QAM64,18,9,0.94
QAM64,18,12,0.94
QAM64,18,15,0.94
QAM64,12,0,0.325
QAM64,12,3,0.325
QAM64,12,6,0.325
QAM64,12,9,0.325
QAM64,12,12,0.325
QAM64,12,15,0.325
QAM64,6,0,0.0
QAM64,6,3,0.0
QAM64,6,6,0.0
QAM64,6,9,0.0
QAM64,6,12,0.0
QAM64,6,15,0.0
QAM64,0,0,0.005
QAM64,0,3,0.005
QAM64,0,6,0.005
QAM64,0,9,0.005
QAM64,0,12,0.005
QAM64,0,15,0.005
PAM4,18,0,1.0
PAM4,18,3,1.0
PAM4,18,6,1.0
PAM4,18,9,1.0
PAM4,18,12,1.0
PAM4,18,15,1.0
PAM4,12,0,1.0
PAM4,12,3,1.0
PAM4,12,6,1.0
PAM4,12,9,1.0
PAM4,12,12,1.0
PAM4,12,15,1.0
PAM4,6,0,0.935
PAM4,6,3,0.935
PAM4,6,6,0.935
PAM4,6,9,0.935
PAM4,6,12,0.935
PAM4,6,15,0.935
PAM4,0,0,0.255
PAM4,0,3,0.255
PAM4,0,6,0.255
PAM4,0,9,0.255
PAM4,0,12,0.255
PAM4,0,15,0.255
CPFSK,18,0,0.085
CPFSK,18,3,0.015
CPFSK,18,6,0.05
CPFSK,18,9,0.08
CPFSK,18,12,0.065
CPFSK,18,15,0.055
CPFSK,12,0,0.085
CPFSK,12,3,0.045
CPFSK,12,6,0.04
CPFSK,12,9,0.055
CPFSK,12,12,0.06
CPFSK,12,15,0.08
CPFSK,6,0,0.03
CPFSK,6,3,0.04
CPFSK,6,6,0.06
CPFSK,6,9,0.045
CPFSK,6,12,0.085
CPFSK,6,15,0.045
CPFSK,0,0,0.035
CPFSK,0,3,0.085
CPFSK,0,6,0.05
CPFSK,0,9,0.08
CPFSK,0,12,0.04
CPFSK,0,15,0.065
GFSK,18,0,0.06
GFSK,18,3,0.045
GFSK,18,6,0.06
GFSK,18,9,0.08
GFSK,18,12,0.085
GFSK,18,15,0.05
GFSK,12,0,0.05
GFSK,12,3,0.05
GFSK,12,6,0.08
GFSK,12,9,0.085
GFSK,12,12,0.065
GFSK,12,15,0.065
GFSK,6,0,0.035
GFSK,6,3,0.05
GFSK,6,6,0.07
GFSK,6,9,0.065
GFSK,6,12,0.08
GFSK,6,15,0.05
GFSK,0,0,0.035
GFSK,0,3,0.045
GFSK,0,6,0.06
GFSK,0,9,0.06
GFSK,0,12,0.07
GFSK,0,15,0.075
