mod,snr,scenario,ber
BPSK,18,Clean+Oracle,0.0
BPSK,18,Clean+AMC,0.003571
BPSK,18,Adv+Oracle,0.0
BPSK,18,Adv+AMC,0.352143
BPSK,12,Clean+Oracle,0.0
BPSK,12,Clean+AMC,0.0
BPSK,12,Adv+Oracle,0.0
BPSK,12,Adv+AMC,0.348929
BPSK,6,Clean+Oracle,0.0
BPSK,6,Clean+AMC,0.003214
BPSK,6,Adv+Oracle,0.0
BPSK,6,Adv+AMC,0.4
BPSK,0,Clean+Oracle,0.000357
BPSK,0,Clean+AMC,0.003214
BPSK,0,Adv+Oracle,0.0
BPSK,0,Adv+AMC,0.485
QPSK,18,Clean+Oracle,0.0
QPSK,18,Clean+AMC,0.0
QPSK,18,Adv+Oracle,0.0
QPSK,18,Adv+AMC,0.469464
QPSK,12,Clean+Oracle,0.0
QPSK,12,Clean+AMC,0.005536
QPSK,12,Adv+Oracle,0.0
QPSK,12,Adv+AMC,0.460179
QPSK,6,Clean+Oracle,0.0
QPSK,6,Clean+AMC,0.0
QPSK,6,Adv+Oracle,0.0
QPSK,6,Adv+AMC,0.456429
QPSK,0,Clean+Oracle,0.010357
QPSK,0,Clean+AMC,0.015714
QPSK,0,Adv+Oracle,0.011429
QPSK,0,Adv+AMC,0.469286
8PSK,18,Clean+Oracle,0.0
8PSK,18,Clean+AMC,0.001429
8PSK,18,Adv+Oracle,0.0
8PSK,18,Adv+AMC,0.500655
8PSK,12,Clean+Oracle,0.0
8PSK,12,Clean+AMC,0.002738
8PSK,12,Adv+Oracle,0.0
8PSK,12,Adv+AMC,0.506429
8PSK,6,Clean+Oracle,0.006786
8PSK,6,Clean+AMC,0.006786
8PSK,6,Adv+Oracle,0.009524
8PSK,6,Adv+AMC,0.500833
8PSK,0,Clean+Oracle,0.076667
8PSK,0,Clean+AMC,0.089048
8PSK,0,Adv+Oracle,0.077381
8PSK,0,Adv+AMC,0.483869
QAM16,18,Clean+Oracle,0.0
QAM16,18,Clean+AMC,0.006875
QAM16,18,Adv+Oracle,0.0
QAM16,18,Adv+AMC,0.480327
QAM16,12,Clean+Oracle,0.000982
QAM16,12,Clean+AMC,0.032768
QAM16,12,Adv+Oracle,0.00125
QAM16,12,Adv+AMC,0.475893
QAM16,6,Clean+Oracle,0.023304
QAM16,6,Clean+AMC,0.045625
QAM16,6,Adv+Oracle,0.025179
QAM16,6,Adv+AMC,0.464464
QAM16,0,Clean+Oracle,0.1425
QAM16,0,Clean+AMC,0.161518
QAM16,0,Adv+Oracle,0.144286
QAM16,0,Adv+AMC,0.48503
QAM64,18,Clean+Oracle,0.002262
QAM64,18,Clean+AMC,0.031726
QAM64,18,Adv+Oracle,0.009286
QAM64,18,Adv+AMC,0.472143
QAM64,12,Clean+Oracle,0.02619
QAM64,12,Clean+AMC,0.047351
QAM64,12,Adv+Oracle,0.034702
QAM64,12,Adv+AMC,0.47375
QAM64,6,Clean+Oracle,0.10625
QAM64,6,Clean+AMC,0.132887
QAM64,6,Adv+Oracle,0.109107
QAM64,6,Adv+AMC,0.470833
QAM64,0,Clean+Oracle,0.235417
QAM64,0,Clean+AMC,0.251935
QAM64,0,Adv+Oracle,0.23631
QAM64,0,Adv+AMC,0.483482
PAM4,18,Clean+Oracle,0.0
PAM4,18,Clean+AMC,0.0
PAM4,18,Adv+Oracle,0.011607
PAM4,18,Adv+AMC,0.469643
PAM4,12,Clean+Oracle,0.0
PAM4,12,Clean+AMC,0.0
PAM4,12,Adv+Oracle,0.010536
PAM4,12,Adv+AMC,0.472857
PAM4,6,Clean+Oracle,0.003571
PAM4,6,Clean+AMC,0.007321
PAM4,6,Adv+Oracle,0.016786
PAM4,6,Adv+AMC,0.489643
PAM4,0,Clean+Oracle,0.0725
PAM4,0,Clean+AMC,0.072143
PAM4,0,Adv+Oracle,0.088036
PAM4,0,Adv+AMC,0.478571
CPFSK,18,Clean+Oracle,0.0
CPFSK,18,Clean+AMC,0.0
CPFSK,18,Adv+Oracle,0.0
CPFSK,18,Adv+AMC,0.433571
CPFSK,12,Clean+Oracle,0.000714
CPFSK,12,Clean+AMC,0.000714
CPFSK,12,Adv+Oracle,0.000714
CPFSK,12,Adv+AMC,0.444286
CPFSK,6,Clean+Oracle,0.0475
CPFSK,6,Clean+AMC,0.0475
CPFSK,6,Adv+Oracle,0.0475
CPFSK,6,Adv+AMC,0.464643
CPFSK,0,Clean+Oracle,0.254643
CPFSK,0,Clean+AMC,0.254643
CPFSK,0,Adv+Oracle,0.254643
CPFSK,0,Adv+AMC,0.472857
GFSK,18,Clean+Oracle,0.000357
GFSK,18,Clean+AMC,0.000357
GFSK,18,Adv+Oracle,0.000357
GFSK,18,Adv+AMC,0.0
GFSK,12,Clean+Oracle,0.005714
GFSK,12,Clean+AMC,0.005714
GFSK,12,Adv+Oracle,0.005714
GFSK,12,Adv+AMC,0.0
GFSK,6,Clean+Oracle,0.073214
GFSK,6,Clean+AMC,0.073214
GFSK,6,Adv+Oracle,0.073214
GFSK,6,Adv+AMC,0.0
GFSK,0,Clean+Oracle,0.281786
GFSK,0,Clean+AMC,0.27
GFSK,0,Adv+Oracle,0.281786
GFSK,0,Adv+AMC,0.050714
