attack,param_name,param_value,snr,defense,accuracy,n_samples
fgsm,eps,0.01,16,savitzky_golay,0.7527272727272727,2200
fgsm,eps,0.01,16,gaussian,0.8095454545454546,2200
fgsm,eps,0.01,16,fir,0.76,2200
fgsm,eps,0.01,16,rand_smooth,0.25681818181818183,2200
fgsm,eps,0.01,18,no_defense,0.7927272727272727,2200
fgsm,eps,0.01,18,adaptive_k_v2_snr,0.8013636363636364,2200
fgsm,eps,0.01,18,adaptive_k,0.7981818181818182,2200
fgsm,eps,0.01,18,spectral_gated,0.8,2200
fgsm,eps,0.01,18,kalman,0.775,2200
fgsm,eps,0.01,18,wiener,0.7431818181818182,2200
fgsm,eps,0.01,18,savitzky_golay,0.7427272727272727,2200
fgsm,eps,0.01,18,gaussian,0.8063636363636364,2200
fgsm,eps,0.01,18,fir,0.7559090909090909,2200
fgsm,eps,0.01,18,rand_smooth,0.25727272727272726,2200
pgd,eps,0.01,0,no_defense,0.595,2200
pgd,eps,0.01,0,adaptive_k_v2_snr,0.6763636363636364,2200
pgd,eps,0.01,0,adaptive_k,0.6290909090909091,2200
pgd,eps,0.01,0,spectral_gated,0.6572727272727272,2200
pgd,eps,0.01,0,kalman,0.6509090909090909,2200
pgd,eps,0.01,0,wiener,0.5845454545454546,2200
pgd,eps,0.01,0,savitzky_golay,0.6663636363636364,2200
pgd,eps,0.01,0,gaussian,0.6536363636363637,2200
pgd,eps,0.01,0,fir,0.4959090909090909,2200
pgd,eps,0.01,0,rand_smooth,0.23727272727272727,2200
pgd,eps,0.01,2,no_defense,0.6859090909090909,2200
pgd,eps,0.01,2,adaptive_k_v2_snr,0.740909090909091,2200
pgd,eps,0.01,2,adaptive_k,0.7263636363636363,2200
pgd,eps,0.01,2,spectral_gated,0.7186363636363636,2200
pgd,eps,0.01,2,kalman,0.6940909090909091,2200
pgd,eps,0.01,2,wiener,0.6731818181818182,2200
pgd,eps,0.01,2,savitzky_golay,0.6640909090909091,2200
pgd,eps,0.01,2,gaussian,0.6736363636363636,2200
pgd,eps,0.01,2,fir,0.6681818181818182,2200
pgd,eps,0.01,2,rand_smooth,0.25636363636363635,2200
pgd,eps,0.01,4,no_defense,0.7159090909090909,2200
pgd,eps,0.01,4,adaptive_k_v2_snr,0.7518181818181818,2200
pgd,eps,0.01,4,adaptive_k,0.7472727272727273,2200
pgd,eps,0.01,4,spectral_gated,0.740909090909091,2200
pgd,eps,0.01,4,kalman,0.7227272727272728,2200
pgd,eps,0.01,4,wiener,0.7027272727272728,2200
pgd,eps,0.01,4,savitzky_golay,0.7045454545454546,2200
pgd,eps,0.01,4,gaussian,0.7013636363636364,2200
pgd,eps,0.01,4,fir,0.7068181818181818,2200
pgd,eps,0.01,4,rand_smooth,0.24545454545454545,2200
pgd,eps,0.01,6,no_defense,0.7472727272727273,2200
pgd,eps,0.01,6,adaptive_k_v2_snr,0.7695454545454545,2200
pgd,eps,0.01,6,adaptive_k,0.769090909090909,2200
pgd,eps,0.01,6,spectral_gated,0.7545454545454545,2200
pgd,eps,0.01,6,kalman,0.7490909090909091,2200
pgd,eps,0.01,6,wiener,0.7227272727272728,2200
pgd,eps,0.01,6,savitzky_golay,0.7313636363636363,2200
pgd,eps,0.01,6,gaussian,0.7213636363636363,2200
pgd,eps,0.01,6,fir,0.7172727272727273,2200
pgd,eps,0.01,6,rand_smooth,0.2609090909090909,2200
pgd,eps,0.01,8,no_defense,0.7463636363636363,2200
pgd,eps,0.01,8,adaptive_k_v2_snr,0.7618181818181818,2200
pgd,eps,0.01,8,adaptive_k,0.7604545454545455,2200
pgd,eps,0.01,8,spectral_gated,0.7518181818181818,2200
pgd,eps,0.01,8,kalman,0.7372727272727273,2200
pgd,eps,0.01,8,wiener,0.7190909090909091,2200
pgd,eps,0.01,8,savitzky_golay,0.7295454545454545,2200
pgd,eps,0.01,8,gaussian,0.7209090909090909,2200
pgd,eps,0.01,8,fir,0.7272727272727273,2200
pgd,eps,0.01,8,rand_smooth,0.24954545454545454,2200
pgd,eps,0.01,10,no_defense,0.7668181818181818,2200
pgd,eps,0.01,10,adaptive_k_v2_snr,0.7872727272727272,2200
pgd,eps,0.01,10,adaptive_k,0.7854545454545454,2200
pgd,eps,0.01,10,spectral_gated,0.774090909090909,2200
pgd,eps,0.01,10,kalman,0.7827272727272727,2200
pgd,eps,0.01,10,wiener,0.7368181818181818,2200
pgd,eps,0.01,10,savitzky_golay,0.7486363636363637,2200
pgd,eps,0.01,10,gaussian,0.7877272727272727,2200
pgd,eps,0.01,10,fir,0.759090909090909,2200
pgd,eps,0.01,10,rand_smooth,0.25772727272727275,2200
pgd,eps,0.01,12,no_defense,0.76,2200
pgd,eps,0.01,12,adaptive_k_v2_snr,0.7827272727272727,2200
pgd,eps,0.01,12,adaptive_k,0.7781818181818182,2200
pgd,eps,0.01,12,spectral_gated,0.77,2200
pgd,eps,0.01,12,kalman,0.7704545454545455,2200
pgd,eps,0.01,12,wiener,0.74,2200
pgd,eps,0.01,12,savitzky_golay,0.7436363636363637,2200
pgd,eps,0.01,12,gaussian,0.7890909090909091,2200
pgd,eps,0.01,12,fir,0.730909090909091,2200
pgd,eps,0.01,12,rand_smooth,0.26681818181818184,2200
pgd,eps,0.01,14,no_defense,0.7622727272727273,2200
pgd,eps,0.01,14,adaptive_k_v2_snr,0.7745454545454545,2200
pgd,eps,0.01,14,adaptive_k,0.7713636363636364,2200
pgd,eps,0.01,14,spectral_gated,0.7695454545454545,2200
pgd,eps,0.01,14,kalman,0.7627272727272727,2200
pgd,eps,0.01,14,wiener,0.7304545454545455,2200
pgd,eps,0.01,14,savitzky_golay,0.7386363636363636,2200
pgd,eps,0.01,14,gaussian,0.7768181818181819,2200
pgd,eps,0.01,14,fir,0.7354545454545455,2200
pgd,eps,0.01,14,rand_smooth,0.25045454545454543,2200
pgd,eps,0.01,16,no_defense,0.7709090909090909,2200
pgd,eps,0.01,16,adaptive_k_v2_snr,0.78,2200
pgd,eps,0.01,16,adaptive_k,0.7790909090909091,2200
pgd,eps,0.01,16,spectral_gated,0.7763636363636364,2200
pgd,eps,0.01,16,kalman,0.7909090909090909,2200
pgd,eps,0.01,16,wiener,0.740909090909091,2200
pgd,eps,0.01,16,savitzky_golay,0.7490909090909091,2200
pgd,eps,0.01,16,gaussian,0.795,2200
pgd,eps,0.01,16,fir,0.7586363636363637,2200
pgd,eps,0.01,16,rand_smooth,0.26136363636363635,2200
pgd,eps,0.01,18,no_defense,0.7718181818181818,2200
pgd,eps,0.01,18,adaptive_k_v2_snr,0.7822727272727272,2200
pgd,eps,0.01,18,adaptive_k,0.7809090909090909,2200
pgd,eps,0.01,18,spectral_gated,0.7754545454545455,2200
pgd,eps,0.01,18,kalman,0.7695454545454545,2200
pgd,eps,0.01,18,wiener,0.7327272727272728,2200
pgd,eps,0.01,18,savitzky_golay,0.7395454545454545,2200
pgd,eps,0.01,18,gaussian,0.7854545454545454,2200
pgd,eps,0.01,18,fir,0.7527272727272727,2200
pgd,eps,0.01,18,rand_smooth,0.2545454545454545,2200
fgsm,eps,0.03,0,no_defense,0.3654545454545455,2200
fgsm,eps,0.03,0,adaptive_k_v2_snr,0.41045454545454546,2200
fgsm,eps,0.03,0,adaptive_k,0.37681818181818183,2200
fgsm,eps,0.03,0,spectral_gated,0.3840909090909091,2200
fgsm,eps,0.03,0,kalman,0.3740909090909091,2200
fgsm,eps,0.03,0,wiener,0.3527272727272727,2200
fgsm,eps,0.03,0,savitzky_golay,0.40136363636363637,2200
fgsm,eps,0.03,0,gaussian,0.36,2200
fgsm,eps,0.03,0,fir,0.32,2200
fgsm,eps,0.03,0,rand_smooth,0.22636363636363635,2200
fgsm,eps,0.03,2,no_defense,0.48409090909090907,2200
fgsm,eps,0.03,2,adaptive_k_v2_snr,0.5290909090909091,2200
fgsm,eps,0.03,2,adaptive_k,0.5272727272727272,2200
fgsm,eps,0.03,2,spectral_gated,0.4968181818181818,2200
fgsm,eps,0.03,2,kalman,0.4863636363636364,2200
fgsm,eps,0.03,2,wiener,0.46954545454545454,2200
fgsm,eps,0.03,2,savitzky_golay,0.4490909090909091,2200
fgsm,eps,0.03,2,gaussian,0.45590909090909093,2200
fgsm,eps,0.03,2,fir,0.4531818181818182,2200
fgsm,eps,0.03,2,rand_smooth,0.2540909090909091,2200
fgsm,eps,0.03,4,no_defense,0.5413636363636364,2200
fgsm,eps,0.03,4,adaptive_k_v2_snr,0.5972727272727273,2200
fgsm,eps,0.03,4,adaptive_k,0.5972727272727273,2200
fgsm,eps,0.03,4,spectral_gated,0.5631818181818182,2200
fgsm,eps,0.03,4,kalman,0.5459090909090909,2200
fgsm,eps,0.03,4,wiener,0.5381818181818182,2200
fgsm,eps,0.03,4,savitzky_golay,0.5254545454545455,2200
fgsm,eps,0.03,4,gaussian,0.5281818181818182,2200
fgsm,eps,0.03,4,fir,0.5327272727272727,2200
fgsm,eps,0.03,4,rand_smooth,0.24636363636363637,2200
fgsm,eps,0.03,6,no_defense,0.5904545454545455,2200
fgsm,eps,0.03,6,adaptive_k_v2_snr,0.6231818181818182,2200
fgsm,eps,0.03,6,adaptive_k,0.6231818181818182,2200
fgsm,eps,0.03,6,spectral_gated,0.6022727272727273,2200
fgsm,eps,0.03,6,kalman,0.5922727272727273,2200
fgsm,eps,0.03,6,wiener,0.5781818181818181,2200
fgsm,eps,0.03,6,savitzky_golay,0.5759090909090909,2200
fgsm,eps,0.03,6,gaussian,0.575,2200
fgsm,eps,0.03,6,fir,0.5590909090909091,2200
fgsm,eps,0.03,6,rand_smooth,0.25772727272727275,2200
fgsm,eps,0.03,8,no_defense,0.6,2200
fgsm,eps,0.03,8,adaptive_k_v2_snr,0.6218181818181818,2200
fgsm,eps,0.03,8,adaptive_k,0.6227272727272727,2200
fgsm,eps,0.03,8,spectral_gated,0.6068181818181818,2200
fgsm,eps,0.03,8,kalman,0.5990909090909091,2200
fgsm,eps,0.03,8,wiener,0.5936363636363636,2200
fgsm,eps,0.03,8,savitzky_golay,0.5963636363636363,2200
fgsm,eps,0.03,8,gaussian,0.5886363636363636,2200
fgsm,eps,0.03,8,fir,0.5977272727272728,2200
fgsm,eps,0.03,8,rand_smooth,0.24454545454545454,2200
fgsm,eps,0.03,10,no_defense,0.6195454545454545,2200
fgsm,eps,0.03,10,adaptive_k_v2_snr,0.6395454545454545,2200
fgsm,eps,0.03,10,adaptive_k,0.6386363636363637,2200
fgsm,eps,0.03,10,spectral_gated,0.6209090909090909,2200
fgsm,eps,0.03,10,kalman,0.6222727272727273,2200
fgsm,eps,0.03,10,wiener,0.605,2200
fgsm,eps,0.03,10,savitzky_golay,0.5981818181818181,2200
fgsm,eps,0.03,10,gaussian,0.6259090909090909,2200
fgsm,eps,0.03,10,fir,0.634090909090909,2200
fgsm,eps,0.03,10,rand_smooth,0.25181818181818183,2200
fgsm,eps,0.03,12,no_defense,0.6086363636363636,2200
fgsm,eps,0.03,12,adaptive_k_v2_snr,0.63,2200
fgsm,eps,0.03,12,adaptive_k,0.6281818181818182,2200
fgsm,eps,0.03,12,spectral_gated,0.615909090909091,2200
fgsm,eps,0.03,12,kalman,0.6213636363636363,2200
fgsm,eps,0.03,12,wiener,0.600909090909091,2200
fgsm,eps,0.03,12,savitzky_golay,0.5963636363636363,2200
fgsm,eps,0.03,12,gaussian,0.6181818181818182,2200
fgsm,eps,0.03,12,fir,0.595,2200
fgsm,eps,0.03,12,rand_smooth,0.2636363636363636,2200
fgsm,eps,0.03,14,no_defense,0.6186363636363637,2200
fgsm,eps,0.03,14,adaptive_k_v2_snr,0.6427272727272727,2200
fgsm,eps,0.03,14,adaptive_k,0.6372727272727273,2200
fgsm,eps,0.03,14,spectral_gated,0.6318181818181818,2200
fgsm,eps,0.03,14,kalman,0.6263636363636363,2200
fgsm,eps,0.03,14,wiener,0.6077272727272728,2200
fgsm,eps,0.03,14,savitzky_golay,0.5945454545454546,2200
fgsm,eps,0.03,14,gaussian,0.6295454545454545,2200
fgsm,eps,0.03,14,fir,0.6172727272727273,2200
fgsm,eps,0.03,14,rand_smooth,0.25045454545454543,2200
fgsm,eps,0.03,16,no_defense,0.62,2200
fgsm,eps,0.03,16,adaptive_k_v2_snr,0.6386363636363637,2200
fgsm,eps,0.03,16,adaptive_k,0.6381818181818182,2200
fgsm,eps,0.03,16,spectral_gated,0.6263636363636363,2200
fgsm,eps,0.03,16,kalman,0.6295454545454545,2200
fgsm,eps,0.03,16,wiener,0.6127272727272727,2200
fgsm,eps,0.03,16,savitzky_golay,0.6077272727272728,2200
fgsm,eps,0.03,16,gaussian,0.635,2200
fgsm,eps,0.03,16,fir,0.6381818181818182,2200
fgsm,eps,0.03,16,rand_smooth,0.2590909090909091,2200
fgsm,eps,0.03,18,no_defense,0.6345454545454545,2200
fgsm,eps,0.03,18,adaptive_k_v2_snr,0.65,2200
fgsm,eps,0.03,18,adaptive_k,0.645,2200
fgsm,eps,0.03,18,spectral_gated,0.639090909090909,2200
fgsm,eps,0.03,18,kalman,0.6336363636363637,2200
fgsm,eps,0.03,18,wiener,0.6163636363636363,2200
fgsm,eps,0.03,18,savitzky_golay,0.6081818181818182,2200
fgsm,eps,0.03,18,gaussian,0.6463636363636364,2200
fgsm,eps,0.03,18,fir,0.6363636363636364,2200
fgsm,eps,0.03,18,rand_smooth,0.25045454545454543,2200
pgd,eps,0.03,0,no_defense,0.20863636363636365,2200
pgd,eps,0.03,0,adaptive_k_v2_snr,0.325,2200
pgd,eps,0.03,0,adaptive_k,0.2340909090909091,2200
pgd,eps,0.03,0,spectral_gated,0.29045454545454547,2200
pgd,eps,0.03,0,kalman,0.28954545454545455,2200
pgd,eps,0.03,0,wiener,0.31,2200
pgd,eps,0.03,0,savitzky_golay,0.31545454545454543,2200
pgd,eps,0.03,0,gaussian,0.2390909090909091,2200
pgd,eps,0.03,0,fir,0.29772727272727273,2200
pgd,eps,0.03,0,rand_smooth,0.23272727272727273,2200
pgd,eps,0.03,2,no_defense,0.33090909090909093,2200
pgd,eps,0.03,2,adaptive_k_v2_snr,0.4440909090909091,2200
pgd,eps,0.03,2,adaptive_k,0.3986363636363636,2200
pgd,eps,0.03,2,spectral_gated,0.385,2200
pgd,eps,0.03,2,kalman,0.4177272727272727,2200
pgd,eps,0.03,2,wiener,0.38136363636363635,2200
pgd,eps,0.03,2,savitzky_golay,0.3940909090909091,2200
pgd,eps,0.03,2,gaussian,0.3740909090909091,2200
pgd,eps,0.03,2,fir,0.3886363636363636,2200
pgd,eps,0.03,2,rand_smooth,0.25227272727272726,2200
pgd,eps,0.03,4,no_defense,0.39590909090909093,2200
pgd,eps,0.03,4,adaptive_k_v2_snr,0.5127272727272727,2200
pgd,eps,0.03,4,adaptive_k,0.49454545454545457,2200
pgd,eps,0.03,4,spectral_gated,0.44772727272727275,2200
