param_value,no_defense,adaptive_k_v2_snr,adaptive_k,spectral_gated,kalman,wiener,savitzky_golay,gaussian,fir,rand_smooth
0.01,0.042954545454545454,0.7438181818181818,0.6769090909090909,0.7310454545454546,0.6921818181818182,0.6522272727272728,0.6448181818181818,0.6653636363636364,0.6554545454545454,0.25004545454545457
0.1,0.04240909090909091,0.7379545454545454,0.6712727272727272,0.7227272727272728,0.6877272727272727,0.6448181818181818,0.6404090909090909,0.6581818181818182,0.6506363636363637,0.25031818181818183
1.0,0.042,0.6139545454545454,0.5634545454545454,0.5985,0.5718181818181818,0.5347727272727273,0.5401818181818182,0.5488636363636363,0.5536363636363636,0.2505
10.0,0.010045454545454545,0.3291363636363636,0.23863636363636365,0.2978636363636364,0.2985,0.3029545454545455,0.3049545454545455,0.2807272727272727,0.3023181818181818,0.2416818181818182
