attack,param_name,param_value,defense,accuracy
eadl1,c,10.0,adaptive_k_v2_snr,0.3361363636363636
eadl1,c,10.0,fir,0.3059090909090909
eadl1,c,10.0,gaussian,0.2896818181818182
eadl1,c,10.0,kalman,0.3075
eadl1,c,10.0,no_defense,0.011681818181818182
eadl1,c,10.0,rand_smooth,0.24277272727272728
eadl1,c,10.0,savitzky_golay,0.3084090909090909
eadl1,c,10.0,spectral_gated,0.31118181818181817
eadl1,c,10.0,wiener,0.30963636363636365
fgsm,eps,0.01,adaptive_k,0.7734545454545455
fgsm,eps,0.01,adaptive_k_v2_snr,0.7789090909090909
fgsm,eps,0.01,fir,0.7104090909090909
fgsm,eps,0.01,gaussian,0.7552272727272727
fgsm,eps,0.01,kalman,0.7516818181818182
fgsm,eps,0.01,no_defense,0.7590454545454546
fgsm,eps,0.01,rand_smooth,0.2516818181818182
fgsm,eps,0.01,savitzky_golay,0.7268181818181818
fgsm,eps,0.01,spectral_gated,0.7712272727272728
fgsm,eps,0.01,wiener,0.7176363636363636
fgsm,eps,0.03,adaptive_k,0.5934545454545455
fgsm,eps,0.03,adaptive_k_v2_snr,0.5982727272727273
fgsm,eps,0.03,fir,0.5583636363636364
fgsm,eps,0.03,gaussian,0.5662727272727273
fgsm,eps,0.03,kalman,0.5730909090909091
fgsm,eps,0.03,no_defense,0.5682727272727273
fgsm,eps,0.03,rand_smooth,0.25045454545454543
fgsm,eps,0.03,savitzky_golay,0.5553181818181818
fgsm,eps,0.03,spectral_gated,0.5787272727272728
fgsm,eps,0.03,wiener,0.5575
fgsm,eps,0.05,adaptive_k,0.4728636363636364
fgsm,eps,0.05,adaptive_k_v2_snr,0.4769090909090909
fgsm,eps,0.05,fir,0.45027272727272727
fgsm,eps,0.05,gaussian,0.4470909090909091
fgsm,eps,0.05,kalman,0.4552272727272727
fgsm,eps,0.05,no_defense,0.4515
fgsm,eps,0.05,rand_smooth,0.24727272727272728
fgsm,eps,0.05,savitzky_golay,0.44486363636363635
fgsm,eps,0.05,spectral_gated,0.45790909090909093
fgsm,eps,0.05,wiener,0.45590909090909093
fgsm,eps,0.1,adaptive_k,0.3492727272727273
fgsm,eps,0.1,adaptive_k_v2_snr,0.3470909090909091
fgsm,eps,0.1,fir,0.3317272727272727
fgsm,eps,0.1,gaussian,0.3381818181818182
fgsm,eps,0.1,kalman,0.3345909090909091
fgsm,eps,0.1,no_defense,0.33886363636363637
fgsm,eps,0.1,rand_smooth,0.23854545454545453
fgsm,eps,0.1,savitzky_golay,0.33190909090909093
fgsm,eps,0.1,spectral_gated,0.3385909090909091
fgsm,eps,0.1,wiener,0.3482272727272727
fgsm,eps,0.15,adaptive_k,0.3171818181818182
fgsm,eps,0.15,adaptive_k_v2_snr,0.31218181818181817
fgsm,eps,0.15,fir,0.3005909090909091
fgsm,eps,0.15,gaussian,0.3119090909090909
fgsm,eps,0.15,kalman,0.3094545454545455
fgsm,eps,0.15,no_defense,0.30968181818181817
fgsm,eps,0.15,rand_smooth,0.22440909090909092
fgsm,eps,0.15,savitzky_golay,0.3049545454545455
fgsm,eps,0.15,spectral_gated,0.30777272727272725
fgsm,eps,0.15,wiener,0.31995454545454544
fgsm,eps,0.2,adaptive_k,0.27245454545454545
fgsm,eps,0.2,adaptive_k_v2_snr,0.2761818181818182
fgsm,eps,0.2,fir,0.25886363636363635
fgsm,eps,0.2,gaussian,0.2735
fgsm,eps,0.2,kalman,0.2730909090909091
fgsm,eps,0.2,no_defense,0.26504545454545453
fgsm,eps,0.2,rand_smooth,0.20981818181818182
fgsm,eps,0.2,savitzky_golay,0.27286363636363636
fgsm,eps,0.2,spectral_gated,0.26740909090909093
fgsm,eps,0.2,wiener,0.28613636363636363
fgsm,eps,0.25,adaptive_k,0.2411818181818182
fgsm,eps,0.25,adaptive_k_v2_snr,0.2414090909090909
fgsm,eps,0.25,fir,0.2200909090909091
fgsm,eps,0.25,gaussian,0.23554545454545456
fgsm,eps,0.25,kalman,0.23368181818181818
fgsm,eps,0.25,no_defense,0.2365909090909091
fgsm,eps,0.25,rand_smooth,0.19654545454545455
fgsm,eps,0.25,savitzky_golay,0.235
fgsm,eps,0.25,spectral_gated,0.23613636363636364
fgsm,eps,0.25,wiener,0.24995454545454546
fgsm,eps,0.3,adaptive_k,0.22436363636363638
fgsm,eps,0.3,adaptive_k_v2_snr,0.21754545454545454
fgsm,eps,0.3,fir,0.1945
fgsm,eps,0.3,gaussian,0.21568181818181817
fgsm,eps,0.3,kalman,0.211
fgsm,eps,0.3,no_defense,0.2195909090909091
fgsm,eps,0.3,rand_smooth,0.18527272727272728
fgsm,eps,0.3,savitzky_golay,0.20881818181818182
fgsm,eps,0.3,spectral_gated,0.2169090909090909
fgsm,eps,0.3,wiener,0.22386363636363638
pgd,eps,0.01,adaptive_k,0.7527272727272727
pgd,eps,0.01,adaptive_k_v2_snr,0.7607272727272727
pgd,eps,0.01,fir,0.7052272727272727
pgd,eps,0.01,gaussian,0.7405
pgd,eps,0.01,kalman,0.7430454545454546
pgd,eps,0.01,no_defense,0.7322272727272727
pgd,eps,0.01,rand_smooth,0.2540454545454545
pgd,eps,0.01,savitzky_golay,0.7215454545454546
pgd,eps,0.01,spectral_gated,0.7488636363636364
pgd,eps,0.01,wiener,0.7083181818181818
pgd,eps,0.03,adaptive_k,0.5012272727272727
pgd,eps,0.03,adaptive_k_v2_snr,0.5203181818181818
pgd,eps,0.03,fir,0.5023636363636363
pgd,eps,0.03,gaussian,0.4597727272727273
pgd,eps,0.03,kalman,0.4884090909090909
pgd,eps,0.03,no_defense,0.43354545454545457
pgd,eps,0.03,rand_smooth,0.2516818181818182
pgd,eps,0.03,savitzky_golay,0.4894090909090909
pgd,eps,0.03,spectral_gated,0.4691818181818182
pgd,eps,0.03,wiener,0.4737272727272727
pgd,eps,0.05,adaptive_k,0.29154545454545455
pgd,eps,0.05,adaptive_k_v2_snr,0.32031818181818184
pgd,eps,0.05,fir,0.3185909090909091
pgd,eps,0.05,gaussian,0.24463636363636362
pgd,eps,0.05,kalman,0.27636363636363637
pgd,eps,0.05,no_defense,0.213
pgd,eps,0.05,rand_smooth,0.25086363636363634
pgd,eps,0.05,savitzky_golay,0.2983181818181818
pgd,eps,0.05,spectral_gated,0.2436818181818182
pgd,eps,0.05,wiener,0.27536363636363637
pgd,eps,0.1,adaptive_k,0.09645454545454546
pgd,eps,0.1,adaptive_k_v2_snr,0.11186363636363636
pgd,eps,0.1,fir,0.10236363636363636
pgd,eps,0.1,gaussian,0.06054545454545455
pgd,eps,0.1,kalman,0.06731818181818182
pgd,eps,0.1,no_defense,0.04704545454545454
pgd,eps,0.1,rand_smooth,0.2484090909090909
pgd,eps,0.1,savitzky_golay,0.08854545454545455
pgd,eps,0.1,spectral_gated,0.06004545454545455
pgd,eps,0.1,wiener,0.07363636363636364
pgd,eps,0.15,adaptive_k,0.057772727272727274
pgd,eps,0.15,adaptive_k_v2_snr,0.07213636363636364
pgd,eps,0.15,fir,0.06336363636363636
pgd,eps,0.15,gaussian,0.03486363636363636
pgd,eps,0.15,kalman,0.03854545454545454
pgd,eps,0.15,no_defense,0.0245
pgd,eps,0.15,rand_smooth,0.23522727272727273
pgd,eps,0.15,savitzky_golay,0.051227272727272725
pgd,eps,0.15,spectral_gated,0.033
pgd,eps,0.15,wiener,0.046181818181818185
pgd,eps,0.2,adaptive_k,0.03413636363636364
pgd,eps,0.2,adaptive_k_v2_snr,0.043272727272727275
pgd,eps,0.2,fir,0.04818181818181818
pgd,eps,0.2,gaussian,0.01781818181818182
pgd,eps,0.2,kalman,0.019045454545454546
pgd,eps,0.2,no_defense,0.011681818181818182
pgd,eps,0.2,rand_smooth,0.2225909090909091
pgd,eps,0.2,savitzky_golay,0.03172727272727273
pgd,eps,0.2,spectral_gated,0.017363636363636362
pgd,eps,0.2,wiener,0.026818181818181817
pgd,eps,0.25,adaptive_k,0.022545454545454546
pgd,eps,0.25,adaptive_k_v2_snr,0.024227272727272726
pgd,eps,0.25,fir,0.04331818181818182
pgd,eps,0.25,gaussian,0.008681818181818181
pgd,eps,0.25,kalman,0.008727272727272728
pgd,eps,0.25,no_defense,0.006681818181818182
pgd,eps,0.25,rand_smooth,0.20086363636363636
pgd,eps,0.25,savitzky_golay,0.018954545454545453
pgd,eps,0.25,spectral_gated,0.008181818181818182
pgd,eps,0.25,wiener,0.013227272727272728
pgd,eps,0.3,adaptive_k,0.019363636363636364
pgd,eps,0.3,adaptive_k_v2_snr,0.01972727272727273
pgd,eps,0.3,fir,0.05709090909090909
pgd,eps,0.3,gaussian,0.007136363636363636
pgd,eps,0.3,kalman,0.006727272727272728
pgd,eps,0.3,no_defense,0.004909090909090909
pgd,eps,0.3,rand_smooth,0.17945454545454545
pgd,eps,0.3,savitzky_golay,0.02081818181818182
pgd,eps,0.3,spectral_gated,0.006681818181818182
pgd,eps,0.3,wiener,0.009545454545454546
