mod,snr,scenario,crc_pass_rate,ber,amc_acc
BPSK,18,Clean,1.0,0.0,1.0
BPSK,18,Clean+AMC,1.0,0.0,1.0
BPSK,18,CW,1.0,0.0,0.1
BPSK,18,CW+AMC,0.11,0.424643,0.1
BPSK,18,CW+Top10,0.975,0.005,0.015
BPSK,18,CW+Top10+AMC,0.02,0.466786,0.015
BPSK,18,Clean+Top10,0.98,0.004643,-1
BPSK,18,CW+Top20,1.0,0.0,0.555
BPSK,18,CW+Top20+AMC,0.575,0.208929,0.555
BPSK,18,Clean+Top20,1.0,0.0,-1
BPSK,18,CW+Top30,1.0,0.0,0.52
BPSK,18,CW+Top30+AMC,0.54,0.225357,0.52
BPSK,18,Clean+Top30,1.0,0.0,-1
BPSK,18,CW+Top40,1.0,0.0,0.52
BPSK,18,CW+Top40+AMC,0.54,0.227143,0.52
BPSK,18,Clean+Top40,1.0,0.0,-1
BPSK,18,CW+Top50,1.0,0.0,0.5
BPSK,18,CW+Top50+AMC,0.52,0.237857,0.5
BPSK,18,Clean+Top50,1.0,0.0,-1
QPSK,18,Clean,1.0,0.0,1.0
QPSK,18,Clean+AMC,1.0,0.0,1.0
QPSK,18,CW,1.0,0.0,0.02
QPSK,18,CW+AMC,0.025,0.470714,0.02
QPSK,18,CW+Top10,0.765,0.011071,0.0
QPSK,18,CW+Top10+AMC,0.0,0.525,0.0
QPSK,18,Clean+Top10,0.805,0.009464,-1
QPSK,18,CW+Top20,1.0,0.0,0.49
QPSK,18,CW+Top20+AMC,0.49,0.259821,0.49
QPSK,18,Clean+Top20,1.0,0.0,-1
QPSK,18,CW+Top30,1.0,0.0,0.47
QPSK,18,CW+Top30+AMC,0.475,0.263214,0.47
QPSK,18,Clean+Top30,1.0,0.0,-1
QPSK,18,CW+Top40,1.0,0.0,0.49
QPSK,18,CW+Top40+AMC,0.49,0.254286,0.49
QPSK,18,Clean+Top40,1.0,0.0,-1
QPSK,18,CW+Top50,1.0,0.0,0.52
QPSK,18,CW+Top50+AMC,0.52,0.235357,0.52
QPSK,18,Clean+Top50,1.0,0.0,-1
8PSK,18,Clean,1.0,0.0,0.96
8PSK,18,Clean+AMC,0.965,0.021548,0.96
8PSK,18,CW,1.0,0.0,0.0
8PSK,18,CW+AMC,0.01,0.50756,0.0
8PSK,18,CW+Top10,0.07,0.070238,0.005
8PSK,18,CW+Top10+AMC,0.005,0.502738,0.005
8PSK,18,Clean+Top10,0.1,0.068333,-1
8PSK,18,CW+Top20,1.0,0.0,0.22
8PSK,18,CW+Top20+AMC,0.22,0.396548,0.22
8PSK,18,Clean+Top20,1.0,0.0,-1
8PSK,18,CW+Top30,1.0,0.0,0.2
8PSK,18,CW+Top30+AMC,0.215,0.403452,0.2
8PSK,18,Clean+Top30,1.0,0.0,-1
8PSK,18,CW+Top40,1.0,0.0,0.22
8PSK,18,CW+Top40+AMC,0.23,0.39631,0.22
8PSK,18,Clean+Top40,1.0,0.0,-1
8PSK,18,CW+Top50,1.0,0.0,0.205
8PSK,18,CW+Top50+AMC,0.225,0.405714,0.205
8PSK,18,Clean+Top50,1.0,0.0,-1
QAM16,18,Clean,1.0,0.0,0.775
QAM16,18,Clean+AMC,0.775,0.110536,0.775
QAM16,18,CW,1.0,0.0,0.005
QAM16,18,CW+AMC,0.005,0.475298,0.005
QAM16,18,CW+Top10,0.01,0.128304,0.07
QAM16,18,CW+Top10+AMC,0.0,0.463036,0.07
QAM16,18,Clean+Top10,0.015,0.129732,-1
QAM16,18,CW+Top20,0.945,0.001964,0.29
QAM16,18,CW+Top20+AMC,0.28,0.3375,0.29
QAM16,18,Clean+Top20,0.955,0.001786,-1
QAM16,18,CW+Top30,0.99,0.000179,0.235
QAM16,18,CW+Top30+AMC,0.23,0.364821,0.235
QAM16,18,Clean+Top30,0.995,8.9e-05,-1
