mod,snr,scenario,ber
BPSK,10,Clean+Oracle,0.0
BPSK,10,Clean+AMC,0.005
BPSK,10,Adv+Oracle,0.0
BPSK,10,Adv+AMC,0.329286
QPSK,10,Clean+Oracle,0.0
QPSK,10,Clean+AMC,0.002857
QPSK,10,Adv+Oracle,0.0
QPSK,10,Adv+AMC,0.465893
8PSK,10,Clean+Oracle,0.000119
8PSK,10,Clean+AMC,0.007738
8PSK,10,Adv+Oracle,0.000357
8PSK,10,Adv+AMC,0.512202
QAM16,10,Clean+Oracle,0.001964
QAM16,10,Clean+AMC,0.022054
QAM16,10,Adv+Oracle,0.002589
QAM16,10,Adv+AMC,0.463631
QAM64,10,Clean+Oracle,0.04631
QAM64,10,Clean+AMC,0.061905
QAM64,10,Adv+Oracle,0.051905
QAM64,10,Adv+AMC,0.475417
PAM4,10,Clean+Oracle,0.0
PAM4,10,Clean+AMC,0.0
PAM4,10,Adv+Oracle,0.013036
PAM4,10,Adv+AMC,0.498214
CPFSK,10,Clean+Oracle,0.0025
CPFSK,10,Clean+AMC,0.0025
CPFSK,10,Adv+Oracle,0.0025
CPFSK,10,Adv+AMC,0.431429
GFSK,10,Clean+Oracle,0.018571
GFSK,10,Clean+AMC,0.018571
GFSK,10,Adv+Oracle,0.018571
GFSK,10,Adv+AMC,0.0
