mod,snr,jammer_power_db,jammer_crc
BPSK,10,0,1.0
BPSK,10,3,1.0
BPSK,10,6,1.0
BPSK,10,9,1.0
BPSK,10,12,1.0
BPSK,10,15,1.0
QPSK,10,0,1.0
QPSK,10,3,1.0
QPSK,10,6,1.0
QPSK,10,9,1.0
QPSK,10,12,1.0
QPSK,10,15,1.0
8PSK,10,0,0.995
8PSK,10,3,0.995
8PSK,10,6,0.995
8PSK,10,9,0.995
8PSK,10,12,0.995
8PSK,10,15,0.995
QAM16,10,0,0.92
QAM16,10,3,0.92
QAM16,10,6,0.92
QAM16,10,9,0.92
QAM16,10,12,0.92
QAM16,10,15,0.92
QAM64,10,0,0.075
QAM64,10,3,0.075
QAM64,10,6,0.075
QAM64,10,9,0.075
QAM64,10,12,0.075
QAM64,10,15,0.075
PAM4,10,0,1.0
PAM4,10,3,1.0
PAM4,10,6,1.0
PAM4,10,9,1.0
PAM4,10,12,1.0
PAM4,10,15,1.0
CPFSK,10,0,0.065
CPFSK,10,3,0.055
CPFSK,10,6,0.055
CPFSK,10,9,0.065
CPFSK,10,12,0.055
CPFSK,10,15,0.11
GFSK,10,0,0.04
GFSK,10,3,0.035
GFSK,10,6,0.065
GFSK,10,9,0.045
GFSK,10,12,0.06
GFSK,10,15,0.075
