mod,snr,scenario,ser
BPSK,10,Clean+Oracle,0.0
BPSK,10,Clean+AMC,None
BPSK,10,Adv+Oracle,0.0
BPSK,10,Adv+AMC,None
QPSK,10,Clean+Oracle,0.0
QPSK,10,Clean+AMC,None
QPSK,10,Adv+Oracle,0.0
QPSK,10,Adv+AMC,None
8PSK,10,Clean+Oracle,0.000313
8PSK,10,Clean+AMC,None
8PSK,10,Adv+Oracle,0.000937
8PSK,10,Adv+AMC,None
QAM16,10,Clean+Oracle,0.006875
QAM16,10,Clean+AMC,None
QAM16,10,Adv+Oracle,0.009062
QAM16,10,Adv+AMC,None
QAM64,10,Clean+Oracle,0.220312
QAM64,10,Clean+AMC,None
QAM64,10,Adv+Oracle,0.239063
QAM64,10,Adv+AMC,None
PAM4,10,Clean+Oracle,0.0
PAM4,10,Clean+AMC,None
PAM4,10,Adv+Oracle,0.022812
PAM4,10,Adv+AMC,None
CPFSK,10,Clean+Oracle,None
CPFSK,10,Clean+AMC,None
CPFSK,10,Adv+Oracle,None
CPFSK,10,Adv+AMC,None
GFSK,10,Clean+Oracle,None
GFSK,10,Clean+AMC,None
GFSK,10,Adv+Oracle,None
GFSK,10,Adv+AMC,None
