mod,snr,clean_amc_acc,cw_adv_acc,cw_asr,cw_l2_mean
BPSK,10,0.992,0.284,0.716,0.007201
QPSK,10,0.992,0.012,0.988,0.006812
8PSK,10,0.99,0.002,0.998,0.00472
QAM16,10,0.948,0.018,0.982,0.002463
QAM64,10,0.942,0.018,0.982,0.003038
PAM4,10,0.99,0.018,0.982,0.014455
CPFSK,10,1.0,0.062,0.938,0.011968
GFSK,10,1.0,0.0,1.0,0.004664
